company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Karibuni,,"Ambassadeur francophone de nos partenaires réceptifs en Afrique et en Asie, nous mettons notre expertise au service des professionnels du tourisme depuis 2007. Faire appel à Karibuni, c’est bénéficier d’une équipe de proximité disposant d’un savoir-faire et d’une exigence uniques.",contact@karibuni.fr,0147510403,https://karibuni.fr,,,
Live to Travel,,Chez Live To Travel nous mettons l'accent sur une approche personnalisée. Nous sommes à l'écoute de vos rêves et de vos désirs et construisons un programme de voyage adapté à vos besoins.,,+32 53 60 61 51,https://livetotravel.eu,,,
CFC – Compagnie française de croisières,,"Ambassador Croisières : croisières exclusives vers les Fjords de Norvège, la Méditerranée et les Îles Grecques. Service raffiné et navire haut de gamme pour un voyage unique.",,0 801 34 22 22,https://cfc-croisieres.fr,,,
Easytours,,"Easytours, 100% Belgian B2B TO, is the specialist for ‘private’ groups’ and your ideal partner for your group travel around the world. Our experience and know-how will be put to work to satisfy your clients and your agency will remain at the center of the trip because everything is personalized under your travel agency’s and we’ll take care of everything. We offer a range of tours – beach stays – city trips & ‘à la carte’. Join the many travel agencies that have trusted us since 2011! Make an appointment to meet us and receive our brochure.",GDPR@easytours.be,21.05.2018,https://easytours.be,,,
Abercrombie & Kent Travel Group,,"For over 60 years, AKTG has been offering tailor-made trips for the most discerning travelers of our travel agent and tour operator partners. We operate across five continents, with over 40 destinations where we have our own offices and teams. Under the A&K Sanctuary brand, we also own 13 intimate, high-end lodges in sub-Saharan Africa, five luxury boats on the Nile, and a 12-suite boat in the Peruvian Amazon. Finally, our Paris office provides close support to our Belgian partners, including regular sales visits!",,,https://abercrombiekent.com,,,
Rivages du Monde,,"Rivages du Monde offers luxury river, coastal, and ocean cruises. A French-speaking atmosphere (Dutch-speaking on certain dates), passionate crews, expert lecturers, and refined, intimate ships. Flights, transfers, gratuities, and full board included. Main destinations: Mekong, Laos, Egypt, Douro, Danube, Equatorial Africa, China, Scotland, Japan, Galápagos.",,,https://rivagesdumonde.be,,,
UPAV,,"UPAV’s mission is to represent and defend travel agencies, and to promote and enhance the value of the travel agent profession. This ambition takes the form of innovative projects, group or on-demand training, coaching, telephone assistance, a weekly newsletter, regular meetings at UPAV breakfasts and lunches, an annual congress and many other benefits. Further information and membership application form at www.upav.be",info@upav.be,+3210654078,https://upav.be,,,
VAB,,"VAB biedt naast pechverhelping voor auto, motor en fiets ook reisverzekering en annulatieverzekering, tweedehandswagens, VAB-Rijschool, een bandencentrale en diagnosecentrum aan.",tweedehands@vab.be,032536989,https://vab.be,,,
L’Office National du Tourisme Tunisien,,Le portail de tourisme en Tunisie vous aide à trouver où passer vos vacances et vos séjours. Quels que soit votre âge ou vos goûts votre séjour sera agréable et culturel à la fois en choisissant votre guide de tourisme Discover Tunisia,,,https://discovertunisia.com,,,
Unlimited Biking,,"Unlimited Biking is a premier best bike rental, tours & experiences company. Find a tour, book for an event, or rent a bike near you today.",,2127494444,https://unlimitedbiking.com,,,
Brazil Sensations,,"Founded in 2014. A Brazilian DMC in MICE and luxury travel, with 100% of operational emissions offset.",,,https://brazilsensations.com,"Rio de Janeiro, BR",Rio de Janeiro,
PAM,,"We’ve been an active and successful travel agency since 1981. Specializing in leisure stays, themed trips and MICE, we are very proud to have welcomed passengers from the four corners of the globe. For over 40 years, our travel experts have been listening to visitors’ specific requests to offer participants a tailor-made program, original concepts, creative and stimulating activities or visits to the country’s most unusual places to create unforgettable memories. For ultra-personalized, 100% made-to-measure services, please email us at sales@pam-dmc.gr or réservations@pam-dmc.gr.",,+30 210 92 29 294,https://pam-dmc.gr,,,
Katarina Line Cruises and Tours,,"Explore the Adriatic with Katarina Line, Croatia's leading small ship cruise company. Luxury and Deluxe cruises available. Book your 2026 cruise today!",cruises@katarina-line.hr,0800 500 845,https://katarina-line.com,,,
Air Charter Service (ACS),,"Leader mondial d’affrètement de jets privés, d’hélicoptères, d’avions de ligne et cargo. 10.000 missions par an, des bureaux sur les 5 continents, contactez-nous 24h/24, 7j/7.",,+32 2 886 15 24,https://aircharterservice.be,,,
Air Corsica,,"Achetez votre billet au meilleur prix et voyagez facile avec Air Corsica, le spécialiste de la Corse. Découvrez nos vols, nos horaires, nos tarifs, nos services additionnels et nos services : bagage en soute, bagage cabine, modification du vol, enregistrement en ligne, choix du siège, Primu l'embarquement prioritaire, collation, cartes abonnés et nos partenaires plus.",support-commercial@aircorsica.com,09 69 36 22 20,https://aircorsica.com,,,
BT Tours,,"Nos avantages : transfert domicile–aéroport inclus, circuits 100 % francophones avec accompagnateur, petits groupes privatisés et accompagnement personnalisé grâce à nos agences BT Tours locales, garantes d’une vraie proximité avec nos clients. En complément de ses propres agences, BT Tours bénéficie également de la reconnaissance de ses pairs : ses circuits sont distribués par de grands acteurs du marché tels que TUI, Neckermann, Léonard ou Généraltour, au sein d’un vaste réseau d’agences physiques.",,2026-2027,https://bttours.be,,,
