company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
AAK,626,"At AAK, everything we do is about Making Better Happen™ in close collaboration with customers and partners. AAK specializes in plant-based oils that are the value-adding ingredients in many of the products people love to consume. Our solutions enable our customers to be successful in a better way. Our AAK Personal Care division is one of the world's leading suppliers of sustainably sourced plant-based emollients for the beauty industry. Our technologically advanced solutions offer new opportunities for cosmetic formulators to help positively change perceptions and drive increased use of natural ingredients.",,,,,,
Active Concepts,908,,,,https://activeconceptsllc.com,,,
Activen,909,Activen is a biotech company that has pioneered a new class of actives: Miniproteins.,,01245 407451,https://activen-cosmetics.ch,,,
Actylis Lyon,234,,biopharma@actylis.com,,https://actylis.com,,,
Adina,726,"You might already know Adina as a distributor of ingredients - while that's true, it's only part of our story. We're a team of technical consultants, ingredient experts, marketers and trend hunters, working with brands and formulators to source the *very best* solutions for your beauty & personal care projects. So, whether it’s an existing brief you’re working on or seeking inspiration for a new standout formulation, we’ve got you covered - from sourcing & sampling, right through to product development support. Plus, our year-round trends analysis & market insights will help foster future planning & decision-making (even when you think you’ve seen everything).",,01892517585,https://adina.co.uk,,,
ADP Cosmetics,909,"ADP Cosmetics is a Spanish company. By developing patented technology that is sold under exclusive licence from the CSIC, we have created physical UV filters of the highest quality. Our method enhances effectiveness and increases safety, creating optimum ingredients for using in the formulation of sunscreen and colour cosmetics.",,01245 407451,https://adpcosmetics.com,,,
Advanced Development & Safety Laboratories Limited (ADSL),926,"Founded in 2008, we are Chartered Chemists, Toxicologists, Microbiologists, Analysts and Regulatory experts that specialise in the provision of formulation and testing services to clients within a range of industries including cosmetic, pharmaceutical, supplement, and household.",,01803 520 048,https://adslaboratories.com,,,
Advena Ltd,325,,office@scs.org.uk,,,,,
Afede Health Beauty & Wellness,909,"A customer oriented independent distributor with over 25 years’ experience within the UK Cosmetic sector. Predominately focussed on innovative, proven and on-trend actives and active delivery systems for Cosmetics, either directly derived from nature or via biotechnology. Plus, functional solutions for antioxidants, amino acids, natural extracts and vitamins. Afede will also be promoting certain finished products at the show. Particularly leave on and peel off masks and NutriCosmetic (Beauty from Within) finished products. We are currently working with the following partners:",,01245 407 451,https://afedewellness.co.uk,,,
Alchemy Ingredients by Elementis,416,"Proud to be part of Elementis, Alchemy Ingredients creates problem-solving, natural functional ingredients that replace synthetic raw materials in cosmetic formulations. Our easy-to-use, naturally-derived blends provide formulators with high performing solutions for oil gelling, emulsifying, thickening and more...",technical@alchemy-ingredients.com,,https://alchemy-ingredients.com,,,
Alfa Chemicals Ltd,826,Visit Alfa Chemicals on Stand 826 to hear about our show-stopping product launches and our growing portfolio of ethically sourced raw materials.,,01344397755,https://alfa-chemicals.co.uk,,,
Alfa Chemicals Manufacturing,826,"High-performance film formers, rheology modifiers, styling and conditioning polymers.",office@scs.org.uk,44 1344 397 758,,,,
ALGAKTIV®,726,"Founded in 2015 by three visionary scientists, ALGAKTIV is at the forefront of microalgae biotechnology. With a proprietary collection of over 150 microalgae species, we merge organic chemistry, molecular biology, and biochemical engineering to innovate. Committed to sustainability, we're pursuing Ecovadis certification, aiming to lead in global impact. Embracing continuous improvement, we constantly refine our technical processes, prioritizing innovation and efficiency. Our future-focused R&D strategy aims to upcycle microalgae waste streams from diverse industries, transforming them into invaluable skincare actives. At ALGAKTIV, we combine sustainability and science to redefine beauty, making a difference for the world.",,,https://algaktiv.com,,,
Alternative Plants,600,,office@scs.org.uk,,,,,
Anton Paar,734,The verification and the purity control of personal care products by measurement of their physical properties are essential to ensure consistent high quality. Anton Paar’s high precision instruments are used throughout the industry for quality control as well as for R&D to ensure that production meets the highest standards.,,03330 150 080,https://anton-paar.com,,,
Arxada,503,"Arxada will be presenting its comprehensive portfolio of innovative solutions for formulators across the global Personal Care and Home Care markets. The portfolio features Geogard® and Proxel® next-generation broad-spectrum antimicrobial blends, Geomulse® naturally derived polyglyceryl esters, and a wide range of multifunctional personal care ingredients designed to meet evolving consumer and regulatory demands.",,+44 (0) 7872 378 042,https://arxada.com,,,
Ascot International (1996) Ltd,114,Ascot International — Your Global Distributor,ascot@ascot1.com,0161 476 6161,https://ascot1.com,,,
Ashland,206,"Ashland Global Holdings Inc. is a premier specialty materials company with a conscious and proactive mindset for sustainability. The company serves customers in a wide range of consumer and industrial markets, including adhesives, architectural coatings, automotive, construction, energy, food and beverage, nutraceuticals, personal care and pharmaceutical. Approximately 4,200 passionate, tenacious solvers – from renowned scientists and research chemists to talented engineers and plant operators – thrive on developing practical, innovative and elegant solutions to complex problems for customers in more than 100 countries. Visit ashland.com and Ashland | Sustainability Overview to learn more.",,+33 6 73 81 74 43,https://ashland.com,,,
