company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
24-7promo,Y54,"We provide quality promotional products, print and design. With over 30 years experience, Lesley and her team will be delighted to help you with all your requirements from desk top ideas, merchandising to bespoke products. We will always deliver on time and offer very competitive prices. 24-7promo provide a stress free experience, send in your details and we can do the rest. Based in North West London, 24-7promo, are ideally located to reach prospects and clients in London and surrounding counties. If you need last minute items there are many items available from our Express Service - please ask Come and visit us on Stand Y54 or if you want to email us: info@24-7promo.co.uk",info@24-7promo.co.uk,,https://24-7promo.co.uk,,,
2b Limitless,B1641,"2b Limitless is a global leadership and performance development company that partners with ambitious SMEs to help them grow stronger leaders, more aligned teams and more sustainable businesses. We work with founders, senior leaders and management teams who are navigating growth, change and increasing complexity — supporting them to move from reactive day-to-day firefighting to confident, focused leadership. Our work spans executive coaching, leadership development programmes and team workshops, all grounded in practical tools, behavioural insight and real-world application. We are best known for our strengths-based approach, helping individuals and teams understand how they perform at their best, how to work more effectively together and how to turn self-awareness into consistent action. At 2b Limitless, we believe leadership is not about titles, but about impact. Our role is to equip SME leaders with the clarity, confidence and capability to lead themselves, their people and their businesses forward - even in fast-paced and uncertain environments.",enquiries.tbs@bsmexpo.com,,https://2blimitless.com,,,
4N - Business Networking,B885,"Sales, leads, referrals, contacts and making new friends… 4Networking has been helping businesses and business owners grow, develop and succeed since 2006; running over 68,000 meetings and facilitating a quarter of a million 121s in those meetings. Members aren't restricted to a single group, but have full access to our growing hybrid network of Online and Face-to Face networking events, and our online community. All our meetings are relaxed, friendly and open to everyone; and we actively encourage collaboration over competition. 50% social, 50% business, 4N works!",enquiries.tbs@bsmexpo.com,,https://4nonline.biz,,,
Access to Work Mental Health Support,B740,"The Access to Work Mental Health Support Service provides cost-free support for employees experiencing mental health challenges that are affecting their wellbeing, attendance or performance at work. Through confidential, personalised support, we have helped more than 45,000 people with anxiety, depression and stress feel better at work over the last seven years. Expert-led workplace wellbeing We develop tailored solutions to help organisations reduce absenteeism and build a resilient, mentally healthy workforce. Our range of services are designed to enhance mental health, wellbeing and workplace culture. What we offer Workplace wellbeing services tailored to suit your business and employees' needs Bespoke wellbeing webinars, group workshops, 1-2-1 support sessions Tailored employee wellbeing programmes designed to meet the needs of your company A range of free workplace mental health resources that can be customised and used throughout your company You can also refer employees directly onto the service where they'll receive up to nine months of confidential, structured support – including tailored support plans, one-to-one coaching and tools for managing stress, anxiety, confidence and wellbeing.",enquiries.tbs@bsmexpo.com,,https://atw.maximusuk.co.uk,,,
Accounting & Bookkeeping Consultancy,B1100,"ABC Accountancy & Bookkeeping Consultancy Modern Accounting, Bookkeeping and Consultancy with Traditional Values At ABC Accountancy & Bookkeeping Consultancy, we provide accountancy, bookkeeping, tax and business advisory services to businesses and private clients across the UK. Combining over 30 years of experience with a modern, forward-thinking approach, we help clients gain clarity, confidence, and control over their finances. We work with a broad range of businesses; from start-ups and sole traders to growing limited companies and established organisations, supporting them with everything from day-to-day bookkeeping and payroll to strategic financial guidance and long-term planning. What makes us different is the way we work with clients. We believe accountancy should feel approachable, understandable, and genuinely supportive. Rather than simply preparing accounts and filing returns, we focus on building long-term professional relationships where clients know they have someone available to guide them throughout the year, not just at deadline time. Our approach is built around traditional values: integrity, reliability, personal service, and honest advice. At the same time, we embrace modern systems and technology that improve efficiency, communication, and financial visibility for our clients. This balance allows us to offer practical, dependable support while helping businesses adapt to an increasingly fast-moving and digital environment. Our core services include: Annual Accounts & Corporation Tax Bookkeeping & Cloud Accounting Payroll Bureau Services VAT Returns & Compliance Business Advisory & Financial Guidance Tax Investigation Protection Personal Tax Services Wealth Management & Future Planning We are passionate about helping business owners better understand their numbers and make informed decisions with confidence. Whether supporting a new business through its first year, helping an established company improve processes and profitability, or simply providing reassurance during uncertain times, our goal remains the same: to make managing finances as easy and stress-free as possible. Over the years, our work has been recognised by a number of organisations and industry awards, including recognition for trusted client service, innovation, and excellence within the accountancy profession. However, our biggest measure of success continues to be the long-standing relationships and referrals we receive from satisfied clients. At ABC, we believe good accountancy is not just about compliance; it is about helping people move forward with clarity, stability, and confidence. Traditional Values. Modern Approach. Making managing your finances As Easy as ABC™ .",enquiries.tbs@bsmexpo.com,,https://accountingbookkeeping.co.uk,,,
Accounting 4 Everything,B905,"Award-winning accountancy practice based in the South West. At Accounting 4 Everything, we recognise the value of an external perspective. Our team offers a fresh, objective view to help you see beyond the day-to-day operations and identify new opportunities for growth and efficiency. As your trusted accountancy partner, we pride ourselves on providing personalised support tailored to your unique needs and challenges. Beyond business services, we are committed to supporting your personal financial success. Whether you're navigating personal tax planning or seeking guidance on complex financial decisions, our team is here to help. Your success is our business .",enquiries.tbs@bsmexpo.com,,https://accounting4everything.com,,,
ADBH Advisory Limited,B1735,"ADBH Advisory is a boutique immigration practice regulated by the Office of Immigration Services Commissioner (OISC). ADBH partners with their clients to provide pragmatic solutions, commercially minded advice, and remove the stress of immigration procedures from clients and assignees. ADBH work with trusted advisors to provide company incorporation, tax, employment, insurance, recruitment, and other legal services to ensure that their clients have a seamless and consistent client service and approach. '",enquiries.tbs@bsmexpo.com,,https://adbhadvisory.com,,,
ADFLUENTIAL,B911,"Adfluential is a UK performance marketing and customer acquisition specialist built around results, not retainers. We are not a traditional marketing agency. Clients only pay for agreed outcomes, whether that is qualified leads, booked appointments, e-commerce sales, or bespoke acquisition campaigns. Through owned sector websites, targeted digital campaigns, lead validation, and quality optimisation, Adfluential turns online demand into measurable sales opportunities. Every enquiry or conversion is tracked, checked where applicable, and optimised to help businesses spend more on what performs and less on what does not. Adfluential focuses on performance-led growth across lead generation and e-commerce, using campaign data and sales feedback to improve quality, increase conversion rates, and reduce wasted spend. By building and managing its own acquisition channels, Adfluential gives clients greater control over source quality, targeting, and measurable results.",enquiries.tbs@bsmexpo.com,,https://adfluential.com,,,
AdPower,"B1340, B830","AdPower is a self-service advertising platform, backed by Global and built to make premium media easier to access, plan and buy. It gives new audiences a straightforward way to create, book and measure campaigns across Global's radio brands, DAX audio and Outdoor network, all through one platform. The idea is to remove the friction that can come with traditional buying, while still giving brands access to the scale, trust and effectiveness of Global's media portfolio.",enquiries.tbs@bsmexpo.com,,https://adpower.com,,,
AdVelocity.ai,B1914,"AdVelocity provides bespoke AI Consultancy Services to increase efficiency, improve customer experiences and make better commercial decisions. We work closely with you to understand your business, identify operational bottlenecks and uncover opportunities to automate processes, improve marketing attribution and connect customer journeys to revenue. From automating repetitive tasks and answering calls 24/7 to identifying which marketing channels are driving real revenue, our AI solutions deliver practical results that save time, reduce costs and support business growth.",enquiries.tbs@bsmexpo.com,,https://advelocity.ai,,,
