s_no,event_name,domain,website_url,start_date,end_date,venue,hall,city,country,instagram_url,event_page_url
1,Pokemon Premier Ball League,trainers-asia.portal-pokemon.com,https://trainers-asia.portal-pokemon.com/id/2026-27/,2026-09-19,2026-09-20,Nusantara International Convention Exhibition (NICE) - Hall 9,Hall 9,Tangerang,Indonesia,https://www.instagram.com/akg.entertainment/,https://nice-nusantaraconvex.com/events/pokemon-premier-ball-league
2,Interzum Jakarta,interzum-jakarta.com,https://interzum-jakarta.com/,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 3A,Hall 3A,Tangerang,Indonesia,https://www.instagram.com/interzumjakarta,https://nice-nusantaraconvex.com/events/interzum-jakarta
3,Automechanika Jakarta,automechanika-jakarta.com,https://www.automechanika-jakarta.com/,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 5-7,Hall 5-7,Tangerang,Indonesia,https://www.instagram.com/automechanika_jkt/,https://nice-nusantaraconvex.com/events/automechanika-jakarta
4,IFFINA+ powered by imm cologne 2026,iffinaindonesia.com,https://www.iffinaindonesia.com/,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 1-3,Hall 1-3,Tangerang,Indonesia,https://www.instagram.com/iffinaindonesia,https://nice-nusantaraconvex.com/events/iffina+-powered-by-imm-cologne-2026
5,International Hardware Fair Indonesia 2026,hardwarefair-indonesia.com,https://hardwarefair-indonesia.com/,2026-09-24,2026-09-27,Nusantara International Convention Exhibition (NICE) - Hall 11,Hall 11,Tangerang,Indonesia,https://www.instagram.com/ihfindonesia,https://nice-nusantaraconvex.com/events/international-hardware-fair-indonesia-2026
6,Indonesia International Music Expo 2026,iime.co.id,https://iime.co.id/,2026-10-02,2026-10-04,Nusantara International Convention Exhibition (NICE),NICE,Tangerang,Indonesia,https://www.instagram.com/iime.musicexpo/,https://nice-nusantaraconvex.com/events/indonesia-international-music-expo-2026
7,Indonesia Card Show 2026,linktr.ee,https://linktr.ee/indonesiacardshow,2026-10-03,2026-10-04,Nusantara International Convention Exhibition (NICE) - Hall 8,Hall 8,Tangerang,Indonesia,https://www.instagram.com/indonesiacardshow/,https://nice-nusantaraconvex.com/events/indonesia-card-show-2026
8,Indonesia Outing & Incentive Travel Expo (IOITE),indooutingexpo.co.id,https://indooutingexpo.co.id/,2026-10-08,2026-10-11,Nusantara International Convention Exhibition (NICE) - Hall 8,Hall 8,Tangerang,Indonesia,https://www.instagram.com/indooutingexpo/,https://nice-nusantaraconvex.com/events/indonesia-outing-and-incentive-travel-expo-%28ioite%29
9,Cafe & Brasserie Expo (CBE) Indonesia 2026,cafebrasserieexpo.com,https://www.cafebrasserieexpo.com/,2026-10-09,2026-10-11,Nusantara International Convention Exhibition (NICE) - Hall 5,Hall 5,Tangerang,Indonesia,https://www.instagram.com/cafebrasserieexpo/,https://nice-nusantaraconvex.com/events/cafe-and-brasserie-expo-%28cbe%29-indonesia-2026
10,Franchise & License Expo Indonesia (FLEI),franchise-expo.co.id,https://franchise-expo.co.id/,2026-10-09,2026-10-11,Nusantara International Convention Exhibition (NICE) - Hall 6 & 7,Hall 6 & 7,Tangerang,Indonesia,https://www.instagram.com/fleiexpoid/,https://nice-nusantaraconvex.com/events/franchise-and-license-expo-indonesia-%28flei%29
11,Krista Interfood Expo 2026,kristainterfood.com,https://kristainterfood.com/,2026-11-04,2026-11-07,Nusantara International Convention Exhibition (NICE) - Hall 1-11,Hall 1-11,Tangerang,Indonesia,https://www.instagram.com/interfoodexpo,https://nice-nusantaraconvex.com/events/krista-interfood-expo-2026
12,Supply Chain Indonesia,indosupplychain.com,https://www.indosupplychain.com/,2026-11-25,2026-11-29,Nusantara International Convention Exhibition (NICE) - Hall 10,Hall 10,Tangerang,Indonesia,,https://nice-nusantaraconvex.com/events/supply-chain-indonesia
13,Indonesia Medical Expo (INDOMEDEX) 2026,indomedex.com,https://indomedex.com/,2026-11-25,2026-11-28,Nusantara International Convention Exhibition (NICE) - Hall 9,Hall 9,Tangerang,Indonesia,https://www.instagram.com/indomedex/,https://nice-nusantaraconvex.com/events/indonesia-medical-expo-indomedex-2026
14,IndoBuildTech Expo,indobuildtech.com,https://indobuildtech.com/,2026-11-25,2026-11-29,Nusantara International Convention Exhibition (NICE) - Hall 11,Hall 11,Tangerang,Indonesia,https://www.instagram.com/indobuildtech/,https://nice-nusantaraconvex.com/events/indobuildtech-expo
15,Indonesia International Beauty Expo & Wellness Industry Expo 2026,en.cibe.cn,http://en.cibe.cn/,2026-11-26,2026-11-28,Nusantara International Convention Exhibition (NICE) - Hall 5,Hall 5,Tangerang,Indonesia,,https://nice-nusantaraconvex.com/events/indonesia-international-beauty-expo-and-wellness-industry-expo-2026
16,Weddingku Exhibition 2026,weddingku.com,weddingku.com,2026-12-04,2026-12-06,Nusantara International Convention Exhibition (NICE) - Hall 8,Hall 8,Tangerang,Indonesia,www.instagram.com/weddingku/,https://nice-nusantaraconvex.com/events/weddingku-exhibition-2026
17,AAPG International Conference and Exhibition (ICE) 2026,iceevent.org,https://iceevent.org/2026/,2026-12-07,2026-12-09,Nusantara International Convention Exhibition (NICE) - Hall 9,Hall 9,Tangerang,Indonesia,https://www.instagram.com/aapgeologists/,https://nice-nusantaraconvex.com/events/aapg-international-conference-and-exhibition-%28ice%29-2026
