company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
4TRIPAZ,10 / 10-37,"4Trip.az Travel registered tourism company - DMC that operates in Baku, Azerbaijan . It specializes in providing a well flexible and satisfying travel packages to different people from all walks of life . We started in 2024 with a strategy to do things differently. We have already made a difference in the market! Based in Baku, We’re probably the company with better local knowledge in meetings and incentives. We have the Western background to help our clients exceed guest expectations.| You can use our professional services for the following areas •Rent a car •Hotel Booking •Tickets •E-visa •Transfer Services •FIT Packages •Group Tours •MICE inAzerbaijann Nature Tours",info@4trip.az,+994512808647,https://4trip.az,,Baku,
A + GROUP,10 / 10-37,"A+ Group is a trusted Destination Management Company (DMC) specializing in Azerbaijan and Georgia. With headquarters in the USA and operational offices in Baku, Tbilisi, and Yerevan, we provide seamless travel solutions across the South Caucasus under one umbrella. Core Services • FIT & Group Travel • Luxury, Leisure, Corporate & Educational Travel • MICE & Event Management • Hotel, Transport, Guides & Excursions • Visa Support & 24/7 Multilingual Assistance • Tailor-made and Ready-made Travel Packages Key Strengths • Established in 2004 • Strong regional expertise in Azerbaijan & Georgia • Active in key source markets: China, Korea, Singapore, Malaysia, Russia, Germany, India • Reliable operational support for both B2B partners and group series",vali.ismayilli@aplustravel.group,+994505227059,,,Baku,
ABAY TOURISM,10 / 10-10,,,+77081151153,,,Semey,
ABTOURS VIETNAM,11 / 11-55,"ABTOUR is a destination management company in Vietnam and Indochina with over 12 years of experience and a professional Russian-speaking team. We provide a full range of ground services, including accommodation in 3–5* luxury hotels, individual and group transfers, excursion programs, business travel and MICE, visa support, and fast-track services. We work with a wide portfolio of popular hotels across Vietnam and offer special deals in Nha Trang and Phan Thiet, as well as exclusive rates for unique excursions to Fun Island and Yang Bay Eco Park.",sales@abtour.vn,+ 84 862869788,,,Nha Trang,
AIR CAIRO,10 / 10-32,Egyptian Airline,,201143355133,http://aircairo.com,,Cairo,
AIRASIA,10 / 10-31,"AirAsia will participate in KITF as part of the Tourism Malaysia stand. The company will showcase its destinations, route network, and offers, as well as engage visitors through on-site activities.",aa@fstravel.kz,+7 771 766 0471,,,Almaty,
ANA HOTELS EUROPA & ANA HEALTH SPA,10 / 10-21,"Escape to the seaside and enjoy a relaxing holiday at Ana Hotels Europa Eforie Nord, a 4-star hotel located on the shores of the Black Sea, in one of the most appreciated resorts on the Romanian seaside. Recently modernized, the hotel welcomes its guests with spacious gardens, comfortable rooms with a new design and modern facilities, as well as access to the Ana Health Spa center, renowned for its relaxation, wellness, and balneotherapy programs. All rooms and suites are equipped with a modern air-conditioning system, spacious balconies, many of them offering sea views, free Wi-Fi, and minibar, ensuring comfort both for seaside holidays and for relaxation stays or business trips.",anda.nedelcu@anahotels.ro,0040726388852,https://anahotels.ro,,EFORIE NORD,
ANSAN HOSPITAL,10 / 10-41,"I am Hong Kwangdae, a surgeon and the Director of the Medical Referral Center at Korea University Ansan Hospital. Having visited Uzbekistan three times, I have a profound interest in fostering medical cooperation and friendship between our two nations. I am here to facilitate clinical training opportunities for Uzbek physicians at our hospital and to ensure that Uzbek patients receive world-class medical treatment at our facility. Korea University Ansan Hospital is equipped with state-of-the-art medical technology and systems, and we are committed to providing the highest standard of care and treatment for every patient from Uzbekistan",drhkd@korea.ac.kr,+821050254740,,,Ansan-si,
AO BANK CENTERCREDIT,11 / 11-54,"Bank CenterCredit is one of the leaders of the country’s banking system, which has been providing simple and convenient products and services in all regions of Kazakhstan since 1988. Today the Bank has its own extensive branch network across the country, serving more than 3 million individuals and business clients in 20 branches and more than 150 outlets.",info@bcc.kz,+77024740059,,,ALMATY,
APPLE TREE DENTAL HOSPITAL,10 / 10-41,"Thank you for your interest in our clinic! My name is Grigory Kim, and I am the official representative of the Apple Tree Dental Group in the Republic of Korea. I began working for Apple Tree in 2012 as a coordinator-translator, manager, and later as the head of the international department. Today, our network comprises 20 clinics across the country. We see international patients at our Seoul (Gangnam) and Goyang (Ilsan) clinics. Our clinics offer all types of dental treatment: Implantology, Dentoplasty (aesthetics), Maxillofacial surgery, Internal Medicine, Orthodontics, and Pediatric Dentistry. The clinics are equipped with modern technology (Ever Green CT technology with reduced radiation dose, 3D design, CEREC crown design and fabrication within half an hour, and much more).",atruskg@gmail.com,+82-10-2753-1863,,,"1450, Jungang-ro, Ilsanseo-gu, Goyang-si, Gyeonggi-do, Republic of Korea",
