company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Abetech Abrasifs,"Halle 21, Stand A34",,,+32 71301712,,Rue de Nimal 27 6030 Marchienne-au-Pont Belgien,,
ADESIV,"Halle 21, Stand B51","ADESIV produziert seit 1971 Klebestoffe, Lacke, Öle und Produkte zur Instandhaltung von Parkettböden.<br/>Außerdem enthält ihr Produktangebot eine Palette an Klebestoffen für Teppich-, PVC-, Gummi und Sportfußböden.<br/>Der Betrieb ist in über 40 Ländern der Welt dank des hervorragenden Preis-Leistungsverhältnisses vertreten.",,+39 0424 566406,https://adesiv.it,Via delle Rose 31 36061 Bassano del Grappa Italien,,
ADLER-Werk Lackfabrik,"Halle 21, Stand D34, (44)","In unseren Adern fließt Farbe!<br/><br/>Mit dieser Philosophie ist ADLER zum Kompetenzführer bei Holzschutz und Holzlacken geworden. Denn wer mit Herz bei der Sache ist, macht keine halben Sachen. Deshalb setzen wir uns selbst die höchsten Maßstäbe: Bei der Forschung und Produktion, bei kompetenter Beratung und perfektem Service.<br/><br/>Davon profitieren natürlich auch unsere langjährigen Kunden. Deshalb sind wir auf eines besonders stolz: Kein Unternehmen wird von Lieferanten, Partnern oder Kunden öfter weiterempfohlen als ADLER!<br/><br/>Innovation und Forschung spielen für uns eine zentrale Rolle: 10% unseres Umsatzes fließen pro Jahr in die Entwicklung neuer und verbesserter Produkte und innovativer Technologien. Mehr als zwei Drittel der rund 10.000 Artikel werden auf wasserverdünnbarer Basis hergestellt. So vermeiden wir den Einsatz von Lösemitteln und leisten einen wichtigen Beitrag zum Umwelt- und Klimaschutz.",,+43 5242 6922-411,https://adler-lacke.com,Bergwerkstr. 22 6130 Schwaz Österreich,,
Adriatica Timber,"Halle 21, Stand A38","The firm boasts decades of experience in the selection of the best sawmills, sawn timber and finished products from Asia, North and Central America. The company relies on highly qualified staff located at the heart of the regions where production takes place, which guarantees strict quality control of the materials before dispatch. Given the significant economic changes that Asian countries have undergone in recent years, Adriatica has redirected its commercial approach, counterposing the traditional commercial flow by bringing Italian and European expertise directly to Asia.",,+39 040 361-541,https://adriaticatimberagency.com,Via Donota 3 34121 Trieste Italien,,
AGT Agac,"Halle 20, Stand C60",,,+90 242 24917-17,https://agt.com.tr,"3. Kisim, 35. Cadde Organize Sanayi. Bölgesi 07190 Dösemealti Türkei",,
AIMMP,"Halle 21, Stand C72","Die Mission von AIMMP – Portugiesischer Verband der Holz- und Möbelindustrie – besteht darin, die Interessen der Unternehmen der fünf Abteilungen zu vertreten, zu fördern und zu verteidigen, die am Lebenszyklus von Holz beteiligt sind, vom Fällen und Fällen der Bäume bis zum verwendeten Endprodukt Zimmerei und Möbel sowie Import und Export von Holz.",,+351 223394 -200,https://aimmp.pt,Rua Alvares Cabral 281 4050-041 Porto Portugal,,
AIMMP,"Halle 21, Stand B72","Die Aufgabe des portugiesischen Verbandes der Holz- und Möbelindustrie (AIMMP) besteht darin, die Interessen portugiesischer Unternehmen aus den fünf Sektoren des Holz- und Möbelsektors zu vertreten, zu fördern und zu schützen: Holzschneiden, Fällen, Sägen und Holzverpacken; Paneele, andere Holzderivate und Energie aus Biomasse; Zimmerei und dergleichen; Möbel und dergleichen; Export, Import und Vertrieb von Holz und Derivaten. Diese Branchen exportieren 2,6 Mrd. € pro Jahr.<br/><br/>Inter Wood & Furniture ist ein strukturiertes Interventionsprogramm, das portugiesische Unternehmen unterstützt, die daran interessiert sind, Internationalisierungsstrategien zu entwickeln, um in neue Wachstumsmärkte zu expandieren. Im Laufe der Jahre hat dieses Programm mehr als 400 Unternehmen durch mehr als 140 Aktionen in mehr als 50 Märkten mit Anreizen von bis zu 50 % unterstützt und sicherlich zum Wachstum der Exporte des Sektors um rund 1.000 Millionen Euro in den letzten 10 Jahren beigetragen .",,+351 223394 -200,https://aimmp.pt,Rua Alvares Cabral 281 4050-041 Porto Portugal,,
AIMMP,"Halle 21, Stand A72","Die Aufgabe des portugiesischen Verbandes der Holz- und Möbelindustrie (AIMMP) besteht darin, die Interessen portugiesischer Unternehmen aus den fünf Sektoren des Holz- und Möbelsektors zu vertreten, zu fördern und zu schützen: Holzschneiden, Fällen, Sägen und Holzverpacken; Paneele, andere Holzderivate und Energie aus Biomasse; Zimmerei und dergleichen; Möbel und dergleichen; Export, Import und Vertrieb von Holz und Derivaten. Diese Branchen exportieren 2,6 Mrd. € pro Jahr.<br/><br/>Inter Wood & Furniture ist ein strukturiertes Interventionsprogramm, das portugiesische Unternehmen unterstützt, die daran interessiert sind, Internationalisierungsstrategien zu entwickeln, um in neue Wachstumsmärkte zu expandieren. Im Laufe der Jahre hat dieses Programm mehr als 400 Unternehmen durch mehr als 140 Aktionen in mehr als 50 Märkten mit Anreizen von bis zu 50 % unterstützt und sicherlich zum Wachstum der Exporte des Sektors um rund 1.000 Millionen Euro in den letzten 10 Jahren beigetragen .",,+351 223394 -200,https://aimmp.pt,Rua Alvares Cabral 281 4050-041 Porto Portugal,,
Akaar Handicrafts,"Halle 23, Stand A78/3",,,,,"Kaccha Camp Janak Garden, Purewal Colony Panipat 132103 Indien",,
Akzo Nobel Deco,"Halle 21, Stand D34, (2)","Wer wir sind und was wir tun<br/>Als Experten für die Herstellung von Beschichtungen sind Sie wahrscheinlich immer nur wenige Meter von einem unserer Produkte entfernt. Wir sind in über 150 Ländern tätig und haben uns zum Ziel gesetzt, weltweit Branchenführer zu werden. Das ist genau das, was Sie von dem nachhaltigsten Farbenhersteller erwarten können, der seit mehr als zwei Jahrhunderten die Zukunft gestaltet.",,+49 221 99585-0,,Am Coloneum 2 50829 Köln Deutschland,,
Almelose Borstelindustrie,"Halle 19, Stand D85","Die ABI ist ein Begriff auf dem Gebiet Eingangsmatten.<br/>Wir sind einer der größten europäischen Hersteller, wenn es um Eingangsmatten Systeme geht. Unsere Matten werden zu Kunden in der ganzen Welt geliefert. Auf Grund unserer gut entwickelten Produktionstechniken können wir Ihnen jede Form von Eingangsmatten bieten.<br/>Mit unserem umfangreichen Sortiment haben wir eine Eingangsmatte passend für jeden Kunden.<br/>Wenn Sie weitere Information wünschen, bitte besuchen Sie unseren Stand.",,+31 5468130 -21,,Windmolen 15 7609 NN Almelo Niederlande,,
Alsaflooring,"Halle 20, Stand B68","Alsaflooring stellt seit 1995 Laminatböden her. In unserem Werk in Marlenheim werden jährlich Millionen von Quadratmetern produziert, die in die ganze Welt verkauft werden. Mit dem Fokus auf Qualität, Trends und Effizienz bietet Alsaflooring dem Markt eine große Auswahl an Produkten, einschließlich Parkett und Vinylböden. Treffen Sie uns am Stand B68 - hall 20 !",,+33 388592989,https://alsaflooring.com,Rue de l'Europe 1 67520 Marlenheim Frankreich,,
AM Folien,"Halle 21, Stand D34, (41)","Lösungen für den Profi rund um Maler- und Stuckateurarbeiten<br/><br/>Von der Abdeckfolie bis zur Walze bietet AM Folien seinen Handelspartnern aus den Bereichen Groß- und Einzelhandel ein durchdachtes Portfolio. Denn der leistungsstarke Lieferant, gegründet mit der Kernkompetenz Folie, hat sich in fast 15 Jahren Bestehen immer weiterentwickelt und präsentiert heute ein im engen Austausch mit Kunden und Endverbrauchern stetig optimiertes Profi-Sortiment.",,+49 2196 882083200,,Handelsstr. 10 42929 Wermelskirchen Deutschland,,
Anhui Aolo New Materials Technology,"Halle 22, Stand D58","Anhui AOLO New Materials Technology Co., Ltd established in April 2013, is located in Suzhou circular economy demonstration park. The enterprise covers an area of 110 mu, with a plant and office area of 32000 square meters and a registered capital of 10 million yuan. The company mainly takes the primary processing of crop straw as the main raw material to produce new biodegradable composite materials. It is a ""national strategic emerging enterprise"". The ""biomass wood plastic composite environmental protection material production demonstration project"" invested and constructed by the company has received ""major support"" from the national development and Reform Commission for the comprehensive utilization of resources and is listed as the ""major special project"" of Anhui Provincial Department of science and technology.",,+86 5572613555,,Renhe Road No.188 Circular Economy Demonstration Park 234000 Suzhou China,,
Anhui Coordinated Lin Plastic Tech.,"Halle 22, Stand B58","Anhui Tongxinlin Plastic Technology Co., Ltd. wurde 2013 gegründet und hat seinen Sitz im Gangji Industrial Park in Hefei City. Das Unternehmen verfügt über eine Gesamtinvestition von 350 Millionen Yuan, eine Fläche von mehr als 100.000 Quadratmetern und beschäftigt mehr als 300 Mitarbeiter. Es handelt sich um ein umfassendes Privatunternehmen, das sich auf Forschung und Entwicklung, Herstellung, Marketing, Service und Handel konzentriert. Derzeit verfügen wir über mehr als 100 vollautomatische CNC-Produktionslinien und mehr als 30 PVC-Produktionslinien. Wir haben die vollautomatische Produktionslinie von Haomai aus Deutschland eingeführt und eine strategische Partnerschaft mit dem belgischen Unternehmen Unilin geschlossen. Wir profitieren von der patentierten Produktionstechnologie von Unilin und einer jährlichen Produktionskapazität von 12 Millionen Quadratmetern.",,+86 55169016868,,"Jinguang Avenue, Gangji Town, Changfeng County 231137 Hefei China",,
Anhui Import and Export,"Halle 22, Stand E30","ANHUI IMP. & EXP. CO., LTD. wurde 1979 gegründet und ist das erste umfassende Außenhandelsunternehmen in Anhui. Als eines der führenden Unternehmen der Außenhandelsgesellschaften auf Provinzebene wurde es 2007 in die Anhui International Trade Group (Holding) Co., Ltd. (AITG) integriert und untersteht der Kommission für die Überwachung und Verwaltung staatlicher Vermögenswerte der Provinz Anhui. Im Jahr 2018 wurde es zusammen mit AITG vollständig in die Anhui Conch Group Co., Ltd. integriert. Die Conch Group belegte Platz 353 auf der Fortune Global 500-Liste 2022 und ist seit vier Jahren in Folge auf dieser Liste vertreten.<br/><br/>Die Marken von ANIEC sind ANIEC, HANDY, H, LONG ANIEHOO, XIHE, wobei „HANDY” als bekannte Exportmarke in Anhui eingestuft wurde.",,+86 55165338711,,"Science Road, No.107 Tianmao Building 230000 Hefei China",,
Anhui Lihua Wood Composite,"Halle 22, Stand D30",,,+86 5633830116,,Bai Shi Jian Road No.46 Langxi Industrial Zone 242100 Anhui China,,
Anhui Omi Vinyl,"Halle 22, Stand A73","Kurze Vorstellung von OMI VINYL (ANHUI) Co., Ltd. ist ein Pionier in der Herstellung von hochwertigen elastischen Bodenbelägen und weltweit führend in der Entwicklung und Herstellung innovativer Produkte sowie einer der größten Lieferanten von elastischen Bodenbelägen weltweit. Das Unternehmen hat seinen Sitz in der Langxi Economic Development Zone in der Stadt Xuancheng in der Provinz Anhui, dem Land der „vier Schätze des Studierzimmers“ in China, 280 km vom internationalen Flughafen Shanghai Pudong (PVG) und 70 km vom internationalen Flughafen Nanjing Lukou (NKG) entfernt. Es handelt sich um ein exportorientiertes, wachsendes Joint Venture.",,+86 5637372880,,"Wuyashan West Road, No.5. Langxi Development Zone 242100 Xuancheng China",,
AnHui Otai New Material,"Halle 22, Stand C44","Changzhou City, die EU zu Decorative Material Co., Ltd. wurde im Juni 1999 gegründet, die aktuelle mehr als 25 Millionen Yuan in Anlagevermögen. Das Unternehmen befindet sich in Changzhou City, Provinz Jiangsu, Wang Lin Industrial Zone, die Fabrik deckt eine Fläche von über 42.000 Quadratmetern, Anlagefläche von 22.000 Quadratmetern. Das Unternehmen liegt verkehrsgünstig, 20 km von Changzhou entfernt, in der Nähe der Schnellstraße Shanghai-Nanjing, der Staatsstraße 312, der Peking-Shanghai-Eisenbahn und des Großen Kanals Peking-Hangzhou, 28 km östlich von Wuxi.<br/>Das Unternehmen die wichtigsten Produktion und den Verkauf von ""Beauty Leopard Boden"" Marke Boden-basierte, im Jahr 1999 in Auftrag gegeben horizontalen automatischen Tauchmaschine Produktionslinie, automatische Druck Paste Produktionslinien, automatische Boden geschlitzt Linie sechs, automatische Boden Auslaugen Farbe Linie ein.",,+86 55088491315,,"Industrial Area of Quan Jiao, 239500 Chuzhou China",,
Anhui Surmount New Materials,"Halle 22, Stand E30",,,+86 5505686699,,"Wei Rd, 2 Laian County Industrial Park 239000 Chuzhou China",,
Anji Zhengyuan WPC Decoration Material,"Halle 22, Stand A41","Anji Zhengyuan WPC Decoration Material Co.,Ltd is a leading supplier with over 10 years' experience in producing durable, performance-improving and cost-effective composite wood products. We help companies of all sizes unlock the power of composite wood products, and our client base includes businesses in the Industrial, Construction, Rail, Transport, Landscaping, Marine and Leisure sectors. There are reasons we believe to make us a qualified& satisfied supplier to our clients.",,+86 572 5300-798,,"The Centre Of Bamboo Technology 1 and Industry Zone, Xiaofeng Town, Huzhou 313301 Anji China",,
Ansen Technology,"Halle 21, Stand A69","Ansen Technology Co., Ltd. wurde 2021 in Sriracha, Chonburi, Thailand, gegründet und ist ein großes Unternehmen, das Forschung und Entwicklung, Herstellung und Vertrieb von PVC-Bodenbelägen und Fertigparkett vereint. Die Gesamtinvestition des Unternehmens beläuft sich auf 30 Millionen US-Dollar, die Fläche beträgt 96.000 Quadratmeter.",,+66 659516936,,Khao Khan Song 88/8 88/8 Moo 10 20110 Sri Racha Thailand,,
Antico Filo',"Halle 21, Stand A52","Antico Filo specializes in the production and supply of high-quality wooden flooring, custom staircases, and baseboards. We combine craftsmanship, design, and innovation to offer elegant and durable solutions that enhance any space with natural materials and meticulous attention to detail. Our products are CE certified, ensuring compliance with the highest European standards of safety and performance.<br/>As a company, we place the utmost importance on environmental responsibility. Our wooden floors are produced with eco-conscious methods and sustainable sourcing, making them comparable to a pristine forest in terms of natural beauty and environmental harmony. With years of experience and a strong commitment to quality and sustainability, Antico Filo stands for excellence in the field of interior wood finishes.",,+39 0438 975174,https://anticofilo.it,Via Pra Della Fiera 55 Sernaglia della Battaglia 31020 Falze' Di Piave Italien,,
Area Floors Zemin Kaplamalari,"Halle 20, Stand C18","Willkommen bei Area Floors in der pulsierenden Stadt Istanbul, Türkei. Wir sind ein führender Hersteller von hochwertigen Bodenbelagslösungen, der es sich zur Aufgabe gemacht hat, Räume mit unseren außergewöhnlichen Produkten zu verwandeln.<br/><br/>Area Floors wurde 2022 gegründet und hat sich schnell einen hervorragenden Ruf in der Branche erworben. Unsere vollautomatische Anlage nutzt modernste Technologie, um Präzision und Effizienz in jedem Schritt des Herstellungsprozesses zu gewährleisten. Dieses Engagement für die Automatisierung ermöglicht es uns, stets erstklassige Bodenbelagslösungen zu liefern.<br/><br/>Wir sind sehr stolz auf unser Engagement für hochwertige Handwerkskunst. Jedes Bodenbelagsprodukt wird sorgfältig aus den besten Materialien hergestellt, um sowohl Haltbarkeit als auch Ästhetik zu gewährleisten. Unsere breite Kollektion umfasst eine Reihe von Stilen und Designs, so dass Sie die perfekte Bodenbelagslösung finden können, die Ihrem Geschmack und Ihren Anforderungen entspricht.",,+90 212 7415161,https://areafloors.com.tr,"Ömerli Mah., Ilgaz Sok.Ic Kapi No:1 34555 Arnavutköy Türkei",,
Arezou Intrade,"Halle 21, Stand B33",,,+62 2715722480,,"Jl. Raya Telukan Cuplik RT 02/RW 0 Dusun II, Kel. Parangjoro, Kec. Grogol 57552 Sukoharjo Indonesien",,
Armada Duvar Kagitlari,"Halle 21, Stand B40","Decowall Walcoverings mit seiner 18.000 m² großen Fabrik und hochmodernen Maschinen im Industriegebiet von Mersin ist der einzige und erste Hersteller von Wandverkleidungen in europäischer Qualität in der Türkei.<br/><br/>Im Jahr 2003 stieg unser Unternehmen durch Importe in die Tapetenindustrie ein und begann 2012 mit der Produktion, um einen Beitrag zur Wirtschaft zu leisten und seinen Kunden einen besseren Service zu bieten.<br/><br/>Decowall Walcovering überträgt derzeit Technologien aus Italien und produziert unter der Leitung eines internationalen professionellen Designteams fleißig Designarbeiten.<br/><br/>Decowall verfügt über die Zertifizierungen ISO 9001:2008, ISO 14001:2004, CE und TSE (Türkische Normungsorganisation) EN 233, EN 234.<br/><br/>Unser Unternehmen bietet seinen Kunden hochwertige Produkte nach europäischen Standards, wettbewerbsfähige Preise und schnelle Lieferung.",,+90 3246764776,,"Mersin 1.osb, 8 Cad. No: 6 33443 Mersin Türkei",,
Asahi Trading,"Halle 23, Stand A79","As a ""trading company"" ASAHI had been importing various loopers. However, tufters reported that none of those loopers could provide sufficient cutting ability to cut some kinds of yarn. So ASAHI TRADING developed a looper to meet that need together with the concerned. That is TTQ Looper. Since then, TTQ keeps improving year by year.<br/><br/>We are a ""trading company"", but if something is needed and it is not in the market, we have been trying to create whatever required such as machine, parts, etc., and introduce it to the market. TTQ is one of them.",,+81 722236329,https://asahitra.co.jp,"Kaino-Cho Higashi, Sakai Ku 1-1-10, HK Build. Sakai-ku 590-0953 Japan",,
AST-CJ,"Halle 21, Stand A53",Wir sind ein Hersteller von Naturholzböden.Das Unternehmen AST begann vor über 30 Jahren mit der Produktion. Von Anfang an konzentrierte sich die Produktion ausschließlich auf Produkte aus 100 % Massivholz.,,,,Parkowa 1 64-234 Barchlin Polen,,
Auer Metallprofile,"Halle 21, Stand F37","Die Auer Metallprofile GmbH hat seit 1990 ihre Kompetenz in der Herstellung von Parkett-, Laminat- und Klickdesignprofilen, Treppenkanten und Übergangsprofilen aus Aluminium, Edelstahl, Messing und PVC für unterschiedlichste Anwendungen. <br/>Zudem gehören Sockelleisten, Läuferstangen, Fließen- und Bauprofile, sowie Befestigungszubehör und Laserarbeiten zum Sortiment. <br/>Großzügige Produktionsanlagen mit modernster Technologie ermöglichen es, den derzeitigen und zukünftigen Anforderungen des Marktes gerecht zu werden. <br/>- 9000 m² Produktionsfläche <br/>- über 700.000 Profile auf Lager <br/>Das heißt auch, dass wir unser Sortiment ständig im Sinne unserer Kunden erweitern. <br/>Effiziente Herstellungsmethoden garantieren: <br/>ein vernünftiges Preis - Leistungsverhältnis, hohe Produktionskapazität und intelligente Logistik, die Lieferfähigkeit ""just in time"". <br/>Die Auer Metallprofile GmbH hat ihren Sitz in Aue, Deutschland, und beschäftigt gegenwärtig 42 Mitarbeiter.",,+49 3771 2868-0,https://auer-metallprofile.de,Muldenstr. 2 08280 Aue-Bad Schlema Deutschland,,
Awood,"Halle 21, Stand A37","Awood ist hochspezialisiert auf die Lieferung von Outdoor-Parkett und Wandparkett, aus eigener Produktion und mit einer begrenzten Auswahl an internationalen Top-Marken. So wurde wertvolles Know-how gewonnen, um professionell zwischen diesen verschiedenen Top-Marken wechseln zu können:<br/><br/>- Stabile und langlebige Harthölzer wie Garapa, Alungu, Padouk und Ipé für Supreme Outdoor-Parketts.<br/>- Moso Bamboo X-treme mit BREEAM-Zertifikat und enormer Härte dank patentiertem Produktionsprozess.<br/>- Fiberon mit PermaTech-Beschichtung, welches die Farbe beibehält, ein Rutschfestigkeits-Zertifikat hat und kostengünstig zu warten ist.<br/>- Improved Oak aus amerikanischer Eiche aus unserer Region. Dank Hightech-Wärmemodifikation in den Niederlanden hat dieses europäische Hartholz stark verbesserte Eigenschaften. Keine Gerbsäuren mehr nötig, viel stabiler, Benutzerklasse 2 und härter als viele Weichholz-Modifikationen.",,+31 413249885,,Weverstraat 14 5405 BN Uden Niederlande,,
AYM Syntex,"Halle 23, Stand D63",,,+91 2261637 -000,https://aymsyntex.com,"Senapati Bapat Marg., Lower Parel Kamala City 9th Floor, Trade World B Wing Mumbai 400013 Indien",,
AZUMI Machinery (Jiangsu),"Halle 23, Stand D36",,,+86 51987326698,https://azumi-bj.com,Sugaoxin Nanda Innovation Park No. 1 Zhongguancun Village 213376 Liyang China,,
