company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Acolad,Foy15,"Acolad ist weltweiter Marktführer für Sprach- und Content-Lösungen. Wir helfen Unternehmen aus allen Branchen dabei, ihren Erfolg auf internationalen Märkten auszubauen, und unterstützen ihr Wachstum mit modernster Technologie und unserer Lokalisierungs-Expertise. Die 1995 gegründete Gruppe verfügt heute in Europa, Nordamerika und Asien über Niederlassungen in 22 Ländern. Mehr als 1.600 interne Mitarbeitende werden dabei von einem Netzwerk aus mehr als 10.000 Sprachexpert:innen auf der ganzen Welt unterstützt. www.acolad.com/de",hello@acolad.com,03069032300,https://acolad.com,"Alt-Moabit 96b, 10559 Berlin (Germany)",10559 Berlin,
Acolada GmbH,2E01,"Dokumentation erstellen mit dem XML-Redaktionssystem Sirius CMS inkl. PowerPoint-Integration und Bilder-Verwaltung. Anleitungen mit dem Word-ähnlichen XML-Editor SIMQIN schreiben inkl. Terminologieprüfung und Satzarchiv. Daten automatisiert publizieren mit myFabulousAgent in InDesign und mit Cobrili für Content Delivery (online/offline). Inhalte als wiederverwendbare DITA-basierte Topics erstellen inkl. Terminüberwachung. Produkte planen/überwachen und mit der Datenbank abgleichen. Integration von PIM-Informationen für technische Daten. Wörterbuchreihe UniLex offline und online für Sprachenprofis. Terminologie mit UniTerm pflegen und im Browser bereitstellen. Terminologieextraktion aus xliff, txt, xml, html und pdf mit Velingua inkl. linguistischer Engine. Terminologieprüfung mit Linguistik in Word, PowerPoint, FrameMaker und über Clipboard Listener in allen Windows-Anwendungen.",info@acolada.de,+49 911 376675-0,https://acolada.de,"Wallensteinstr. 61-63, 90431 Nürnberg (Germany)",90431 Nürnberg,
ADAPT Localization Services GmbH,2D01,"ADAPT Localization Services ist ein führender Sprachdienstleister für Hersteller aus der Medizintechnik, den Life Sciences und verschiedenen verwandten Technologiebranchen. Das Unternehmen hat seinen Hauptsitz in Bonn sowie weitere Standorte in Stockholm, Barcelona und Kopenhagen und ist nach ISO 13485, ISO 17100 und ISO 18587 zertifiziert. ADAPT bietet ein umfassendes Serviceportfolio, mit dem wir zum Erfolg unserer Kunden auf ihren internationalen Märkten beitragen; dazu gehören: Übersetzung in alle relevanten Sprachen Lokalisierung von Software und Apps Lokalisierung von Websites Vertonung/Untertitelung von Schulungsvideos und Präsentationen Layout, Grafikdesign und DTP Quelltext-Optimierung Lesbarkeitsstudien Beratung Kompetenz, Qualitätsbewusstsein und Teamgeist, gepaart mit Engagement, Bodenständigkeit und Stabilität: diese Unternehmenskultur bei ADAPT schätzen zahlreiche Kunden, von internationalen Großkonzernen über Mittelständler bis zu Start-ups, seit über 25 Jahren.",adapt@adapt-localization.com,+49 229 982260,https://adapt-localization.com,"Godesberger Allee 127, 53175 Bonn (Germany)",53175 Bonn,
AG Young Professionals,Foy01,"Young Professionals – Treffpunkt für Austausch und Inspiration Unsere AG ist die Anlaufstelle für Neueinsteiger jeden Alters. Wir unterstützen Dich beim Ankommen im Berufsfeld, beim Entdecken der vielfältigen Möglichkeiten und beim Engagement in der tekom. Gemeinsam gestalten wir die Zukunft der Technischen Kommunikation – und zeigen, wie spannend und vielfältig sie ist. Am Stand bieten wir Raum für Fragen, Gespräche und neue Perspektiven – für Neulinge ebenso wie für erfahrene Fachleute. Hier kannst Du Dich vernetzen, Ideen teilen und Impulse mitnehmen. Und an unserer Buttonmaschine wird ein von Dir selbst gestalteter Button zum Statement für Deine Verbindung zur TK. Komm vorbei - wir freuen uns auf den Austausch mit Dir!",b.hufnagel@tekom.org,0179/1044532,,"Heilbronner Straße 86, 70191 Stuttgart (Germany)",70191 Stuttgart,
Aleido,2C25,"Raising the bar of technical information We are introducing Aleido Platform, a unified AI-native platform for the entire product information lifecycle. With AI at the core, Aleido Platform transforms fragmented processes into smooth workflows, improving efficiency and quality, from content production to delivery. Aleido Platform includes a CCMS, a CDP and AI tools. Thanks to its modularity, customers can choose the modules they need and integrate with their existing system park. Aleido is an international company with a long heritage of driving the development of product information. We work with manufacturers in the automotive, defence, medical technology, telecommunications, rail, and heavy machinery industries and help them reduce support costs, minimize downtime, increase customer satisfaction, and drive aftermarket sales. We make the advanced simply understood.",Communications@aleido.com,+49 2203 29019 30,https://aleido.com,"Max-Reichpietsch-Straße 2, 51147 Köln (Germany)",51147 Köln,
Alta Lingua GmbH,2D19,"Die Alta Lingua GmbH ist ein führender technologieorientierter Sprachdienstleister, der nach ISO 9001, ISO 17100, ISO 18587, ISO 27001 und TISAX zertifiziert ist. Die Zertifizierungen sind ein Zeichen für unsere Verpflichtung für Qualität und Informationssicherheit. Wir bieten ein breitgefächertes Dienstleistungsportfolio an, gepaart mit einem tiefen Fachverständnis der Anforderungen und Erwartungen der Industrieunternehmen und einer hervorragenden interkulturellen Kompetenz. Durch unsere maßgeschneiderten Prozesse, flexible Technologien und tiefgreifendes Know-how unterstützen wir unsere Kunden dabei, ihre Inhalte und Botschaften in alle Sprachen der Welt zu transportieren. Die optimale Kombination aus Technologie und menschlichem Know-how prägt alle Prozesse bei Alta Lingua GmbH. Wir setzen in allen Bereichen die modernsten Technologien ein, um die Übersetzungs-Workflows zu optimieren und die Qualität zu verbessern.",anca.florescu@alta-lingua.de,+4930863238811,https://alta-lingua.de,"Kaiserin-Augusta-Allee 27, 10553 Berlin (Germany)",10553 Berlin,
"Antenna House, Inc.",2B13,"Antenna House Formatter is used by thousands of companies worldwide, many of those in Germany, to format user, technical, training and business documents for PDF and print. AH Formatter is used by more content and document management companies exhibiting at Tekom than any other formatting software. Come see for yourself the power of Antenna House Formatter with support for your complex formatting requirements, over 50 languages and PDF/A.",info@antennahouse.com,+1 3025667225,https://antennahouse.com,"240 N. James Street, Suite 208, DE 19804 Newport (United States)",DE 19804 Newport,
AutomataCore Labs d.o.o.,2F24,"We, at AutomataCore Labs, help organizations modernize, scale, and thrive in an increasingly digital world. Our offer is a comprehensive suite of services tailored to the unique needs of modern enterprises: Enterprise Consulting – strategic guidance to align technology with business goals. Product Development – from concept to launch, we build innovative, scalable solutions. Digital Transformation – reimagining processes, platforms, and customer experiences.",office@automatacore-labs.com,+38641852196,https://automatacore-labs.com,"Blatnica 1, 1236 Trzin (Slovenia)",1236 Trzin,
beo Gesellschaft für Sprachen und Technologie mbH,2E01,"beo Gesellschaft für Sprachen und Technologie mbH bietet maßgeschneiderte Prozesse für Ihre multilinguale Dokumentation. Übersetzung, Terminologie, Fremdsprachen-Layout, Lokalisierung und Projektmanagement sind unser tägliches Geschäft. Zusätzlich engagieren wir uns in den Bereichen Normierung und Standardisierung technischer Kommunikation, Weiterentwicklung von linguistischen Core-Technologien wie TM-Systemen, Translation-Management, MT, etc.",info@beo-doc.de,+49 711 16646 0,https://beo-doc.de,"Ruppmannstraße 33b, 70565 Stuttgart (Germany)",70565 Stuttgart,
berns language consulting GmbH,2D18,"berns language consulting GmbH (short: blc) is an independent company of experts based in Düsseldorf, Germany. Since 2005, we help industry clients to implement the best language technology the market has to offer. The blc-team consists of expert terminologists, computational linguists, and language processing and systems specialists. With our Data Toolkit, we analyze and groom language data automatically and help our clients with efficient terminology, ontology, and knowledge graph management. We train AI based translation systems and introduce terminology and translation management tools. Last but not least, we support clients in their daily business with managed services for their language management platforms. With our expertise, customers master the ever-increasing amounts of text thanks to efficient processes, good data, and the right technology.",info@berns-language-consulting.de,+49 211 220677-0,https://berns-language-consulting.de,"Blücherstr. 69, 40477 Düsseldorf (Germany)",40477 Düsseldorf,
