company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
APEF,A07,"Services aux particuliers Avec plus de 30 ans d'expérience, notre réseau APEF est aujourd'hui un acteur incontournable des services à la personne en France. Multi-expertises (accompagnement des seniors, ménage repassage, jardinage/bricolage, garde d'enfants), APEF permet aux franchisés de répondre à tous les besoins locaux tout en saisissant des opportunités business pour étoffer leur offre (cours de musique, livraison de repas, garde d'animaux...). Expert de l'accompagnement des seniors actifs et en perte d'autonomie grâce à un engagement de toujours sur cette cible clients, APEF est LE réseau destiné aux futurs franchisés qui souhaitent s'engager durablement dans le mieux vivre à domicile localement. En outre, notre réseau est un réseau de proximité (170 agences dont +145 franchisés), animé par des valeurs humaines partagées de tous, et qui favorise la co-construction avec ses franchisés (commissions franchise, droits de vote sur les décisions...). Nous vous accompagnons de A à Z dans l'élaboration de votre projet : +90% de nos franchisés ne venaient pas du secteur des services à la personne. Nous possédons une équipe dédiée à l'accompagnement à la création d'entreprise et une équipe dédiée à l'accompagnement opérationnel pour développer votre agence. Vous pouvez donc compter sur : - Un savoir-faire de plus de 30 ans : nous vous formons et vous transmettons nos outils, process et bonnes pratiques - Un accompagnement sur tous les volets : opérationnel, juridique, communication, marketing, paie... - Une marque différenciante, une communication percutante et qui s'adapte à vos enjeux locaux Dynamique, engagé et humain, notre réseau est présent aujourd'hui pour rencontrer ses futurs franchisés APEFtimistes sur Arras et aux alentours. De nombreuses très belles opportunités existent dans votre région !",,,https://apeffranchise.fr,Le Trident - 1115 rue Hélène Boucher 34130 MAUGUIO France,MAUGUIO,
AQUARELLE,C03,"Aquarelle Service propose de l'aide à domicile pour actifs, retraités, personnes en perte d'autonomie, offrant des services personnalisés et flexibles. Rejoignez notre réseau de franchise pour bénéficier d’une marque reconnue, d’un support complet sur un marché en pleine croissance.",,,https://aquarelle-service.fr,18 av. Charles de Gaulles 31130 BALMA France,BALMA,
ARION AVOCATS,,"Cabinet d'avocats BESIDE Avocats est un cabinet d'avocat lyonnais à taille humaine qui exerce une activité de conseil et de contentieux en droit des affaires et plus particulièrement en droit de la franchise depuis l'arrivée de Maître Elodie BERTRAND-ESQUEL qui dispose de compétences reconnues dans ce domaine. Notre approche repose avant tout sur un partenariat fort avec les entreprises et les décideurs, avec le double objectif d’être au plus proche de leurs préoccupations opérationnelles et d’assurer la sécurisation et l’optimisation de leurs projets. Nous concevons, aux côtés de nos clients, les solutions plus adaptées à leur environnement, à leurs valeurs et à leurs ambitions. L’engagement du cabinet est de placer l’expertise de ses avocats au service de vos projets, dans le cadre d’un accompagnement fondé sur la confiance, le pragmatisme et la réactivité. Nous adoptons une approche fondée sur un partenariat étroit avec les entreprises et les décideurs, dans le but de répondre au mieux à leurs besoins opérationnels tout en garantissant la sécurité juridique et l’optimisation de leurs projets.",,,,14 Rue de la Charité 69002 LYON France,LYON,
ATTILA,B04,"Services aux entreprises ATTILA est le premier réseau national spécialisé dans l’entretien et la réparation de tous types de toitures en B2B, positionné sur un marché de niche encore peu structuré. Depuis 20 ans, le réseau s’est imposé comme un acteur de référence en développant une approche unique basée sur la prévention plutôt que la réfection, permettant de prolonger la durée de vie des toitures et de sécuriser l’activité de ses clients (entreprises, collectivités, gestionnaires de patrimoine). Ce positionnement génère une forte récurrence client, avec des contrats d’entretien et des interventions régulières, assurant ainsi une visibilité et une stabilité de chiffre d’affaires pour les franchisés. ATTILA se distingue également par sa capacité d’innovation continue : digitalisation des outils, utilisation de drones pour les diagnostics, méthodes d’intervention sécurisées et « zéro flamme », ainsi qu’un pilotage précis de l’activité grâce à des outils métiers performants. Accessible sans prérequis technique, le modèle ATTILA repose sur un accompagnement complet (formation, support, animation) permettant à des profils entrepreneurs de piloter une entreprise de services structurée, rentable et durable sur un marché B2B porteur.",,,https://franchise-attila.fr,71 RUE ANDRE COQUILLET 45200 MONTARGIS France,MONTARGIS,
AU BUREAU,B10,"Inspirée des pubs londoniens, l’enseigne Au Bureau est née en 1989 en France. À la fois pub, brasserie et restaurant, Au Bureau propose des offres adaptées à tous les moments de la journée dans une ambiance authentique et chaleureuse. Au Bureau est un vrai lieu de vie où l'on apprécie se retrouver entre amis pour un repas, un apéro, un match, un concert et discuter toute la soirée autour d'une offre variée et adaptée.",,,https://bertrand-franchise.com,55 rue Deguingand 92300 Levallois-Perret France,Levallois-Perret,
AUGUSTIN - L'art du Pain,D06,"AUGUSTIN – L'Art du Pain, la boulangerie premium qui permet d'entreprendre sans être boulanger. AUGUSTIN réinvente la boulangerie artisanale en proposant un concept premium destiné aux centres-villes, quartiers commerçants et emplacements à fort flux, où qualité, savoir-faire et expérience client font la différence. Grâce à AUG'UNIT, l'atelier de fabrication intégré, récompensé par la Médaille d'Or au Concours Général Agricole 2026 pour son pain de campagne, les produits sont élaborés à partir de farines 100 % françaises selon un savoir-faire artisanal reconnu. Les franchisés développent ainsi leur activité sans être boulanger, sans fabrication de nuit, sans les difficultés de recrutement de boulangers qualifiés et sans les contraintes d'un laboratoire de production traditionnel, tout en garantissant une qualité constante. Ouvertes 7 jours sur 7, les boutiques AUGUSTIN proposent tout au long de la journée près de 50 recettes de pains au levain 100 % naturel façonnés, cuit sur place et vendus au poids, des viennoiseries, des pâtisseries fines, une offre de restauration boulangère premium et de salon de thé, répondant aux nouvelles attentes des consommateurs urbains. Rejoindre AUGUSTIN, c'est intégrer le Groupe BC-CAP et bénéficier d'un accompagnement complet : recherche et validation d'emplacements, études de potentiel, financement, formation immersive de 3 mois, accompagnement à l'ouverture et suivi opérationnel permanent. Avec AUGUSTIN, entreprenez dans l'univers de la boulangerie premium autrement : un concept reconnu, différenciant et performant, conçu pour les centres-villes et les emplacements stratégiques, sans les contraintes traditionnelles du métier de boulanger.",,,https://les-pains-augustin.com,11 BEAUJARDIN 35410 CHATEAUGIRON France,CHATEAUGIRON,
BAGELSTEIN,D11,"Depuis plus de 15 ans, nous réinventons le bagel grâce à une identité décalée, un ton impertinent et des produits de qualité fabriqués avec exigence. Notre concept allie une expérience client unique à un modèle économique éprouvé, qui poursuit son développement en France comme à l'international. Rejoindre Bagelstein, c'est intégrer un réseau dynamique, bénéficier d'un accompagnement complet et entreprendre aux côtés d'une enseigne reconnue, audacieuse et en constante évolution. Un concept qui a du caractère. Un réseau qui vous accompagne. Une aventure entrepreneuriale à partager.",,,https://bagelstein.com,16 RUE DU VIEUX MARCHÉ AUX VINS 67000 STRASBOURG France,STRASBOURG,
BANQUE POPULAIRE MEDITERRANEE,C16,,,,,,,
BERTRAND FRANCHISE,B10,"Restauration 1er Groupe français indépendant de restauration et d’hôtellerie, le Groupe Bertrand connaît une croissance continue depuis sa création par Olivier Bertrand il y a près de 30 ans. Rejoindre Bertrand Franchise, c’est se lancer dans un projet entrepreneurial unique auprès du leader de la restauration en franchise en France. Ses enseignes emblématiques, bâties sur une identité forte, proposent des concepts variés conçus pour séduire une large clientèle. Intégrez une aventure humaine, portée par des enseignes engagées dans l’excellence du service et la satisfaction client. Grâce à l’expertise et au savoir-faire de nos équipes, nous créons une expérience différenciante qui fidélise durablement vos consommateurs. Hippopotamus / Au Bureau / Leon / Volfoni / Pitaya / Le Paradis de fruit / Chik'Chill / Meatpack",,,https://bertrand-franchise.com,55 RUE DEGUINGAND 92300 LEVALLOIS-PERRET France,LEVALLOIS-PERRET,
BOULANGERIE FIRMIN,D12,"Boulangerie - Restauration rapide Firmin est né en Dordogne en 2006. Depuis, l’Enseigne de boulangerie-restauration rapide ne cesse de se développer en France métropolitaine et en Outre Mer. Firmin n’est pas une chaîne de boulangerie, c’est une communauté de chef d’entreprises franchisés qui partagent un savoir-faire, une enseigne et des valeurs fortes! Nos boulangeries sont singulières, chacune à sa personnalité et est adaptée à sa zone de chalandise, parce qu’on ne mange pas de la même façon à Lille, à Marseille ou à Pointe-à-Pitre! Chez Firmin, vous ne serez jamais un numéro de Franchisé, et vos clients ne seront jamais de simples numéros de tickets: parce que nous sommes tous différents, il n’y a aucune raison pour qu’on se ressemble ! Et pourtant, des valeurs communes nous rassemblent : le goût du bon produit, préparé sur place, présenté frais ou chaud au bon moment et au bon prix, l’exigence du travail bien fait et de la bonne transmission du savoir-faire à nos équipiers, une relation forte et sincère entre les Franchisés et nos Animateurs réseaux, le 3+1 OFFERT sur tout tout le temps pour transmettre du plaisir à chacun de nos clients, même les plus modestes… Forte d’une trentaine de points de vente, Firmin est une entreprise familiale, à taille humaine, où chacun trouve sa place pour s’épanouir, se réaliser et réussir !",,,https://boulangeriefirmin.com,39 Cours Saint-Georges 24000 PÉRIGUEUX France,PÉRIGUEUX,
