company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
https://acleanspirit.dk/,,"A Clean Spirit steht für hochwertige, authentische Spirituosen mit klarem Fokus auf Transparenz, Qualität und Charakter. Das Unternehmen arbeitet mit ausgewählten Destillerien und Marken aus aller Welt zusammen und bringt charakterstarke Abfüllungen nach Deutschland. Das Portfolio umfasst eine spannende Auswahl an Whiskys, Rums und weiteren Premium-Spirituosen, die durch Individualität, Herkunft und handwerkliche Herstellung überzeugen. A Clean Spirit richtet sich an Genießer, die Wert auf ehrliche Produkte und besondere Geschmackserlebnisse legen.",,,https://acleanspirit.dk,,,
anCnoc,,"anCnoc ist der Single Malt Whisky der Knockdhu Distillery, die 1894 in den schottischen Highlands gegründet wurde. Die Brennerei ist bekannt für ihre frischen, fruchtigen Whiskys, die in traditionellen Kupferbrennblasen hergestellt werden. anCnoc Whiskys zeichnen sich durch leichte Zitrusnoten und florale Aromen aus, die typisch für die Region sind. Die Marke bietet sowohl ungetorfte als auch getorfte Abfüllungen an, die unterschiedliche Rauchnoten präsentieren. anCnoc vereint traditionelle Herstellungsmethoden mit modernen Geschmacksprofilen, die Whisky-Liebhaber weltweit begeistern.",,,https://ancnoc.com,,,
Balblair Distillery,,"Balblair ist eine traditionsreiche schottische Brennerei in den Highlands, die seit 1790 besteht. Sie ist bekannt für ihre fruchtigen und eleganten Single Malts, die in den natürlichen Lagern am Ufer des Dornoch Firth reifen. Balblair setzt auf Jahrgangsabfüllungen, was ihre Whiskys besonders macht. Die Verwendung von Ex-Bourbon- und Sherryfässern verleiht den Whiskys ihre besondere Tiefe und Komplexität. Jede Flasche reflektiert die Handwerkskunst und das Erbe der Destillerie, die zu den ältesten Schottlands gehört.",,,https://balblair.com,,,
Brennerei Mack Kilpenhof,,"Die Brennerei Mack Kilpenhof steht für handwerklich hergestellte Edelbrände und Spirituosen aus dem Schwarzwald. Mit viel Erfahrung und Leidenschaft entstehen hier hochwertige Destillate aus sorgfältig ausgewählten Früchten und Rohstoffen. Die Brennerei verbindet traditionelle Brennkunst mit modernen Ansätzen und legt besonderen Wert auf Qualität, Regionalität und authentische Aromen. Das Sortiment umfasst klassische Obstbrände ebenso wie besondere Spezialitäten für anspruchsvolle Genießer.",,,https://brennerei-mack.de,,,
Bruichladdich Distillery,,"Bruichladdich ist eine schottische Brennerei auf der Isle of Islay, die für ihre ungetorften Whiskys bekannt ist. Zum Portfolio gehören jedoch auch der intensiv getorfte Port Charlotte und der stark getorfte Octomore, der als der rauchigste Whisky der Welt gilt. Die Brennerei legt großen Wert auf Transparenz, Nachhaltigkeit und Regionalität. Neben Whisky produziert Bruichladdich auch den beliebten Gin The Botanist, der mit 22 handgepflückten Kräutern von der Insel verfeinert wird. Alle Produkte spiegeln die Verbundenheit zur Heimat und handwerkliche Qualität wider.",,,https://bruichladdich.com,,,
Chef. Carsten. Catering,,"Chef. Carsten. Catering von Carsten Duchow sorgt während der Hall of Angels‘ Share für das kulinarische Wohl der Gäste. Bekannt für seine kreativen und liebevoll zubereiteten Speisen, bietet er köstliche Häppchen an, die perfekt auf Whisky und Rum abgestimmt sind. Mit viel Leidenschaft und handwerklichem Können kreiert Carsten Duchow innovative Gerichte, die das Geschmackserlebnis auf der Messe abrunden. Sein Catering steht für frische Zutaten und raffinierte Kombinationen, die das Event zu einem besonderen Genuss für die Besucher machen.",,,,,,
Delicana Cachaça,,"Delicana Cachaça ist eine Premium-Cachaça, die aus Brasilien stammt und in Deutschland abgefüllt wird. Die Marke legt besonderen Wert auf traditionelle Herstellung und Authentizität. Die Cachaça wird aus frisch gepresstem Zuckerrohrsaft destilliert und anschließend in ausgewählten Holzfässern gelagert, um ihre charakteristischen Aromen zu entwickeln. Delicana bietet eine breite Auswahl, von klassischen bis hin zu gereiften Varianten, und richtet sich an Genießer, die brasilianische Lebensart und hochwertige Cachaça erleben möchten.",info@delicana.com,+49 177 9607931,https://delicana.com,,,
Diageo,,"Diageo ist ein weltweit führendes Unternehmen im Bereich Spirituosen, und stolz darauf, bei Premium-Getränken eine Vorreiterrolle zu spielen. Mit der Anmeldung bei www.malts.com, erhalten Sie Informationen zu neuen Produkten, Marken, Angeboten, sowie Wissenswertes über Diageo, Mitarbeiter und Grundsätze. Der verantwortungsvolle Umgang mit Alkohol ist unter DRINKIQ einsehbar. Tasten Sie am Messestand großartige Marken aus der Diageo-Range, und bei der MasterClass die brandneuen Special Releases.",,4.5 1 165.3,https://diageo.com,,,
Die Brennerin vom Tegernsee,,,info@fischermann.media,154 70190,,,,
Dis One Distillery,,"DIS ONE Distillery No. ONE ist eine unabhängige Whisky-Destillerie aus Oberschwaben, geprägt von handwerklicher Herstellung und einem fruchtbetonten Whisky-Stil. Variabel abgestimmte Würzen und die behutsame Destillation schaffen dafür die Grundlage. Vom ersten Tag an reifen die Whiskys ausschließlich in ausgewählten Bordeauxfässern. Drei unterschiedliche Fassqualitäten und verschiedene Würzekompositionen verleihen ihnen individuelle Geschmacksprofile – von fein und elegant bis vielschichtig und kraftvoll.",,,,,,
El Ron del Artesano,,"El Ron del Artesano steht für handwerklich veredelten Panama-Rum, der seine finale Reifung im Schwarzwald erhält. Die Rums reifen in ausgewählten Fässern aus der Wein- und Whiskywelt, was ihnen eine besondere Note verleiht. Alle Abfüllungen sind ungefärbt und ungezuckert, um die natürliche Qualität zu bewahren. El Ron del Artesano präsentiert exklusive Einzelfassabfüllungen, die für ihre Reinheit und Authentizität geschätzt werden. Diese Hingabe zur Qualität macht die Marke zu einem Highlight für anspruchsvolle Rumliebhaber weltweit.",,,,,,
Fancy Food & Livestyle,,,,,,,,
Feller BrennereiKultur,,"Die Brennerei Feller, seit 1820 in der 5. Generation aktiv, produziert CO₂-neutral auf einer modernen Anlage mit 7-facher Destillation, was für besonders milden Alkohol sorgt. Die Whiskys und Rums basieren auf eigenem Anbau von Gerste, Dinkel, Weizen, Roggen und Mais. Ihre Whiskys wurden mehrfach von Jim Murray mit über 95,5 Punkten ausgezeichnet.",,,,,,
Glendalough,,"Die Glendalough Distillery steht für Craft Spirituosen aus den irischen Wicklow Mountains. Inspiriert von dieser einzigartigen Natur, verkörpern die Spirituosen den sagenumwobenen Ort Glendalough, dem „Tal der zwei Seen“. Die Gins werden aus lokalen, frisch und saisonal gesammelten Botanicals frisch und schonend destilliert. Die Whiskeys erhalten alle ein besonderes Fass-Finish, wie z.B. in eigens gefertigten Fässern aus nachhaltig vor Ort gefällter irischer Eiche. Ob Gin oder Whiskey, Glendalough‘s handgefertigte Spirituosen atmen den Geist der Wicklow Mountains.",,18009639260,,,,
Jack Crap Spirits,,"Jack Crap Spirits ist eine deutsche Marke, die für unkonventionelle und charakterstarke Spirituosen steht. Mit einem klaren Fokus auf Qualität und eigenständige Rezepturen entstehen Abfüllungen, die sich bewusst vom Mainstream abheben. Kreativität, handwerklicher Anspruch und ein Gespür für außergewöhnliche Aromen prägen das Sortiment und machen Jack Crap Spirits zu einer spannenden Adresse für Genießer, die das Besondere suchen.",import@jackcrapspirits.com,58 84 566,https://import.jackcrapspirits.com,,,
Kirsch Import,,"Kirsch Import ist einer der führenden Importeure hochwertiger Spirituosen in Deutschland und steht für eine breite Auswahl internationaler Marken. Auf der Messe präsentiert Kirsch Import Whiskys wie Glenallachie, Nc’Nean, Benromach, Gordon & MacPhail, Smokehead, Nikka, Tomintoul und Glencadam. Ergänzt wird das Portfolio durch Rum-Marken wie Hampden und Takamaka. Die Auswahl vereint unterschiedliche Stilistiken und Herkunftsländer und bietet spannende Einblicke in die Vielfalt der Spirituosenwelt.",,,,,,
Koval,,"Koval ist eine innovative Brennerei aus Chicago und war die erste Destillerie in der Stadt seit der Prohibition. Gegründet im Jahr 2008, setzt Koval auf biologische Rohstoffe und Single Barrel Abfüllungen. Bekannt ist die Brennerei für ihre hochwertigen Whiskeys, darunter Bourbon, Rye und eine Reihe experimenteller Getreidesorten wie Hirse und Hafer. Die Whiskeys sind charakteristisch weich und geschmacklich vielfältig, dank der sorgfältigen Destillation und Lagerung in handverlesenen Fässern. Koval ist außerdem für seine klare und elegante Flaschendesigns bekannt.",jobs@koval-distillery.com,+13128787988,https://koval-distillery.com,"4241 N Ravenswood Ave, 60613, Chicago, IL, US",,
MyTasting,,"MyTasting Whisky Events & Raritäten Heidelberg wurde von Marc Braunwart und David Scharsach gegründet. Die beiden Freunde bieten deutschlandweit Whisky-Tastings an, die sie mit ihrer mobilen Whiskybar veranstalten. Mit einem vielfältigen Sortiment an Raritäten und hochwertigen Whiskys sind sie nicht nur auf Messen vertreten, sondern auch auf mittelalterlichen Märkten im Einsatz. Ihre Leidenschaft und Expertise schaffen besondere Erlebnisse für Whisky-Liebhaber, die sowohl bekannte Klassiker als auch seltene Abfüllungen entdecken möchten.",support@apkcombo.com,2018-2026,,,,
Old Pulteney Distillery,,"Old Pulteney ist eine schottische Brennerei, die für ihre maritimen Single Malts bekannt ist. Die Destillerie, gegründet 1826, befindet sich in Wick an der Nordostküste Schottlands. Ihre Whiskys zeichnen sich durch eine salzige Note aus, die durch die Nähe zur Küste beeinflusst wird. Old Pulteney reift seine Whiskys überwiegend in Ex-Bourbon- und Sherryfässern, was ihnen Tiefe und Komplexität verleiht. Beliebte Abfüllungen sind der 12-jährige, der 15-jährige und der 18-jährige, die für ihren frischen, fruchtigen Charakter und die subtile Würze geschätzt werden.",,,https://oldpulteney.com,"Huddart Street, KW1 5BA, Wick, Scotland, UNITED KINGDOM",,
Outlaw Rum Company,,,info@germanrumfestival.com,2026 27.08.2026,,,,
Paul Bugge,,"Paul Bugge ist der führende Anbieter für Zigarren, Humidore, Pfeifen und Tabak aus Schwenningen, der einen Onlineshop mit einem Vollsortiment im Bereich Zigarren betreibt. Neben bekannten Marken bietet Paul Bugge auch die hauseigene Brand Leonel an, die für ihre Qualität und Vielfalt geschätzt wird. Das Sortiment umfasst eine breite Auswahl an Zigarren, Zubehör und exklusiven Angeboten, die sowohl Einsteiger als auch erfahrene Liebhaber ansprechen. Mit dem Fokus auf Qualität und Service ist Paul Bugge eine feste Größe in der Zigarrenwelt.",service@paul-bugge.com,07720 / 954840,https://paul-bugge.com,"Spittelbronner Weg 46, 78056, Villingen-Schwenningen, Baden-Württemberg, DE",,
Perola,,"Perola ist ein führender Spirituosen-Importeur und Distributor in Deutschland, der sich auf hochwertige und innovative Marken spezialisiert hat. Auf der Messe präsentiert Perola eine Auswahl amerikanischer Whiskeys mit Yellowstone Whiskey, Penelope Whiskey und Rebel Bourbon. Die Marken stehen für unterschiedliche Stilistiken und moderne Interpretationen klassischer US-Whiskeys und bieten spannende Einblicke in die Vielfalt der amerikanischen Whiskeykultur.",,+49211456001,,"Stockumer Kirchstraße 61, 40474, Düsseldorf, DE",,
Prineus,,"Prineus GmbH, der Spirituosen-Importeur aus Neumünster, präsentiert eine vielfältige Auswahl internationaler Whiskys. Im Fokus stehen Destillerien und Abfüller wie Lindores Abbey, Indri – Indian Single Malt Whisky, Ballindalloch und Chichibu. Ergänzt wird das Portfolio durch Marken wie Fable, The Firkin, Single Cask Nation und J.G. Thomson. Prineus verbindet Tradition und Innovation und bietet eine spannende Auswahl für Liebhaber unabhängiger Abfüllungen und charakterstarker Whiskys.",,,,,,
Reise KulTouren,,"ReiseKultouren bietet individuell gestaltete Whiskyreisen, hauptsächlich nach Schottland, aber auch in andere europäische Länder, an. Mit dem Fokus auf exklusive Touren können Reisende die Kultur, atemberaubende Landschaften und Destillerien hautnah erleben. Die Reisen beinhalten geführte Touren, Verkostungen und persönliche Erlebnisse, um tiefer in die Welt des Whiskys einzutauchen. ReiseKultouren legt großen Wert auf maßgeschneiderte Angebote, die auf die Interessen und Vorlieben der Teilnehmer abgestimmt sind.",,,,,,
Rhum Damoiseau,,"Damoiseau ist eine renommierte Rum-Marke aus Guadeloupe, die für ihre hochwertigen Rums bekannt ist. Die Brennerei produziert traditionell aus frischem Zuckerrohrsaft, wodurch ein charakteristischer Agricole-Rum entsteht. Damoiseau legt großen Wert auf die Authentizität und die Handwerkskunst der Herstellung, was den Rums eine besondere Tiefe und Komplexität verleiht. Die Produktpalette reicht von weißen über gereifte Rums bis hin zu exklusiven Jahrgangsabfüllungen, die sowohl Einsteiger als auch Kenner ansprechen.",,+44 1738 245576,,,,
Riegger's Selection,,"Wir bei Riegger’s Selection sind nicht nur Aussteller, sondern auch die Veranstalter der Hall of Angels’ Share . Seit über 20 Jahren wählen wir besondere Whiskyfässer aus und füllen sie als individuelle Single Casks im Schwarzwald ab. Unser Schwerpunkt liegt auf handverlesenen Fässern aus zahlreichen schottischen Destillerien und außergewöhnlichen Fassreifungen. Besonders unsere Wein-Cask-Finishes spiegeln die Verbindung von Wein-Riegger und unserer Leidenschaft für Whisky wider. Bei der Hall of Angels’ Share präsentieren wir unsere aktuellen Abfüllungen, besondere Raritäten und natürlich auch eigens für die Messe ausgewählte Messeabfüllungen.",,,,,,
Rum Exchange,,,,,,,,
Sansibar,,"Sansibar Whisky steht für exklusive unabhängige Abfüllungen mit Fokus auf hochwertige Single Casks aus Schottland und darüber hinaus. Jede Abfüllung wird sorgfältig ausgewählt und überzeugt durch Vielfalt, besondere Fassreifungen und charakterstarke Aromen. Auf der Messe präsentiert Sansibar Whisky eine Auswahl spannender Marken wie Uncharted, North Star, Dully und Sansibar-Whisky selbst. Ein besonderer Fokus liegt dabei auf High Coast, das mit nordischem Stil und eigenständigem Profil begeistert.",,,,,,
Schlumberger,,"Schlumberger bietet unter dem Motto „A Dram for Everyone“ ein vielfältiges Sortiment internationaler Spirituosen. Dazu zählen Whiskys wie Aberargie, Mac-Talla, Old Perth und Carn Mòr sowie Heaven’s Door aus den USA. Ergänzt wird das Portfolio durch Dead Rabbit, Camus Cognac, Feeney’s Irish Cream und Etter Edelbrände. Die Auswahl vereint unterschiedliche Stilistiken und Herkunftsländer und steht für Qualität und Vielfalt für Genießer",,8/31/2026,,,,
Schwarzwälder Genusswerkstatt,,"Die Schwarzwälder Genusswerkstatt, unter der Leitung von Oliver Bittlingmaier und Dagmar Holzer, ist bekannt für ihre handwerklich hergestellten Schokoladenkreationen. Beide sind erfahrene Konditormeister und setzen auf Kreativität und Tradition, um hochwertige Produkte aus dem Schwarzwald herzustellen. Bittlingmaier kreiert durch seine Leidenschaft für Whisky während der Messetage einzigartige Whiskytrüffel und Whisky-Schokoladencremes. Die Manufaktur bietet zudem ein breites Sortiment an Pralinen, Torten und Konfitüren mit feinen Bränden, die Liebe zum Detail und Genusskultur verkörpern.",,,,,,
Spirit of Rum,,"Spirit of Rum ist ein Anbieter von hochwertigen Rums, der exklusive Marken wie Depaz, Don Q, HSE und Tres Hombres vertreibt. Die Marke legt großen Wert auf Qualität und Authentizität und bietet ein breites Spektrum an Rumsorten aus verschiedenen Regionen und Traditionen an. Mit Fokus auf Nachhaltigkeit und Tradition bieten die vertretenen Destillerien einzigartige Rumerlebnisse, die Kenner und Liebhaber begeistern. Spirit of Rum steht für sorgfältig ausgewählte Rums und eine Leidenschaft für das Handwerk.",info@spiritofrum.com,25.05.2025,https://spiritofrum.com,,,
Spirithöker,,,,,,,,
St Kilian Distillers,,,,,,,,
Säntis Malt,,"Säntis Malt ist ein Schweizer Whisky, der von der Brauerei Locher in Appenzell hergestellt wird. Bekannt ist er für seine Reifung in historischen Bierfässern, die dem Whisky eine einzigartige Charakteristik verleihen. Der Einfluss dieser Fässer, kombiniert mit der Reifung im alpinen Klima, sorgt für komplexe Aromen, die Säntis Malt von anderen Whiskys abheben. Es werden verschiedene Abfüllungen angeboten, von klassischen bis zu rauchigen Varianten, die international mehrfach ausgezeichnet wurden und das Erbe der Appenzeller Braukunst widerspiegeln.",,,,,,
T. Sonthi,,"T.Sonthi Rum Spirituosen stammen aus der Feder von Thomas Sontheimer, der Anfang 2020 den innovativen Entschluss fasste, seinen eigenen Rum zu kreieren. Sein Ziel ist es, mehr Menschen in die Welt des Rums, dem Flair der Karibik und der Piraten zu locken. Dabei war es ihm wichtig, tolle Düfte bereits beim Entkorken der Flasche zu erreichen und eine perfekte Kreation zu einer feinen Zigarre zu schaffen. Rum, der süffig, süß und dennoch kräftig für den puren Genuss geschaffen ist und zu vielen Anlässen perfekt passt.",,01.10.2026,https://t-sonthi.de,,,
The Caskhound,,"Tilo Schnabel, Inhaber von The Caskhound, hat sich als unabhängiger Abfüller in der Welt des schottischen Whiskys etabliert. Mit über 230 Abfüllungen in den letzten fünf Jahren hat er eine beeindruckende Auswahl an Scotch-Whiskys geschaffen, die sowohl Kenner als auch Einsteiger begeistert. Sein Fokus liegt darauf, die besten Fässer zu finden und in kleinen Chargen abzufüllen, wodurch er die handwerkliche Qualität und die Einzigartigkeit jeder Destillerie bewahrt. Seine Whiskys sind bekannt für ihre komplexen Aromen und den unverwechselbaren Charakter, der von der schottischen Tradition und Landschaft inspiriert ist. Tilo hat sich eine treue Fangemeinde aufgebaut, die seine Hingabe zur Qualität und Detailtreue schätzt",,2026 2012,,,,
The Whisky Cask The Rum Cask,,"Bei TheWhiskyCask & TheRumCask finden Sie mehr als 800 verschiedene Whisky- und Rumsorten von höchster Qualität. Dies gilt ganz besonders für unsere Eigenabfüllungen, die wir persönlich für Sie auswählen. Wir führen in unserem Shop Whiskys von namhaften unabhängigen Abfüllern und Originalabfüllungen aus Schottland sowie aus anderen Regionen der Welt.",info@thewhiskycask.de,0049 (0) 6331 44507,https://thewhiskycask.de,,,
Thy Whisky,,"Thy Whisky aus Dänemark beeindruckt als familiengeführte „Single Estate Distillery“, die alle Produktionsschritte vom Feld bis zur Flasche selbst übernimmt. Das Getreide wird rein ökologisch, ohne Pestizide, auf eigenen Feldern angebaut, wobei auf alte Sorten wie Gerste, Roggen und Dinkel gesetzt wird. In der eigenen Mälzerei entsteht eine besondere Vielfalt, darunter Whiskies mit einzigartigem Buchenholzrauch-Aroma. Am Stand von Thy Whisky erwartet die Besucher eine spannende Reise vom Malz über den New Make bis hin zum fertigen Whisky – von rauchig bis klassisch.",,,,,,
True Spirits,,"True Spirits ist eine B2B-Plattform, die sich auf die Vernetzung und Vermarktung authentischer Spirituosen spezialisiert hat. Sie bietet Produzenten, unabhängigen Abfüllern und Marken eine klare Struktur zur Präsentation und Kommunikation. Die Plattform betont Transparenz und Ehrlichkeit im Marketing, um Vertrauen zwischen den Partnern zu schaffen. Auf Messen wie der „Hall of Angels‘ Share“ bietet True Spirits eine Blind Tasting Challenge an, bei der Besucher ihre Sinne testen und spannende Entdeckungen machen können.",,+49211456001,,"Stockumer Kirchstraße 61, 40474, Düsseldorf, DE",,
