company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
21Kraft,,"21KRAFT : Your Gateway to Luxury Travel in the Indian Subcontinent Every great journey begins with a story. At 21Kraft, ours is rooted in an ancient Indian belief— “Atithi Devo Bhava” —the guest is God . This philosophy guides everything we do, shaping journeys that are more than itineraries; they are carefully woven tapestries of culture, indulgence, and unforgettable moments. From our base in New Delhi, we open the doors to India and its neighboring lands—Nepal, Bhutan, Sri Lanka, and the Maldives—designing experiences that blend the grandeur of heritage with the elegance of modern luxury. Imagine waking up in a centuries-old palace once reserved for royalty, embarking on a sunrise yoga session overlooking the Himalayas, or dining under the stars as the desert sands shift in Rajasthan. Picture an evening cruise on a private yacht in the Maldives, or a silent walk through ancient temples where spirituality is almost tangible. These are not packages. They are stories—crafted with care, precision, and an intimate understanding of what luxury truly means. Our role is simple: to listen, to curate, and to deliver. Whether it’s a family seeking cultural immersion, a corporate group in need of flawless execution, or a discerning traveler craving exclusivity, we orchestrate every detail. Our multilingual guides bring destinations alive with narratives that transcend guidebooks, while our operations team ensures seamless logistics—luxury transfers, curated stays, and every indulgence in between. Behind the scenes, quality checks and trusted partnerships guarantee a journey that is effortless, secure, and world-class. And because the most precious luxury is time, our concierge team works around the clock—turning last-minute wishes into flawless realities. At the heart of 21Kraft are our 21 Signature Journeys —a collection of experiences designed to celebrate India’s spirit in all its colors: cultural immersions at festivals and royal palaces, spiritual retreats in serene landscapes, thrilling adventures across mountains and deserts, and indulgent escapes aboard luxury trains or private cruises. Each journey is a story waiting to be lived, remembered, and retold. 21Kraft isn’t just a travel company. We are storytellers, curators, and custodians of experiences that linger long after the journey ends. For those who seek more than travel—for those who seek meaning, beauty, and wonder—we are your trusted gateway to the Indian subcontinent.",,+44 7404 136292,https://21kraft.com,,,
Abercrombie & Kent,,"Abercrombie & Kent is an award-winning, luxury travel company with a difference. We’re not like most other travel companies, and we couldn’t be more different from those baffling booking sites. There’s nothing DIY about A&K. Our holidays aren't packaged or off-the-rack. We create tailor-made escapes. Each holiday as individual as the person it is created for. We care – not only about your holiday, but also about the world we’re all travelling through*. We’re dab hands – we're experts who have been helping travellers explore and discover for more than 60 years. Just like you, we’ve got a bad case of wanderlust. We’re here to guide and inspire you, to help you push the boundaries of your comfort zone, and take you off-the-beaten-track. We’ll ensure that your time away is the time of your life. A&K is part of the A&K Travel Group, a global lifestyle and travel company that sets the standard for refined and personalised travel experiences. These include Abercrombie & Kent, Crystal, and Cox & Kings.",,,https://abercrombiekent.co.uk,,,
AmaWaterways,,,res@amawaterways.com,1-800-626-0126,https://amawaterways.com,,,
Audley Travel Group,,"Tailor-made holidays and safaris, crafted by experts Audley Travel is a tour operator with more than 25 years’ experience in creating meaningful travel experiences shaped around you.​ Audley has come a long way from its beginnings as a tiny start-up, offering a new, personal style of travel. Today, we offer trips to destinations worldwide, but we still hold to our founding belief that travel means the most when it’s created for you. ​ A trip with Audley is created completely around you, from the experiences you have to the places you stay. Covering over 90 countries, Audley’s award-winning specialists have a deep connection to their destinations that can only have come from living or travelling there extensively. By understanding the meaning behind why you want to travel, they can create experiences that will change your perspective and stay with you long after you’ve returned home.​",,,https://audleytravel.com,,,
Australis,,,,,,,,
Authentic India Tours,,"Authentic India Tours is a specialist tour operator offering ABTA protected tailor-made and small group tours of India, Nepal, Bhutan, Sri Lanka and the Maldives. Our team, which is largely based in the region, spend time sourcing the best accommodation and experiences available and developing creative itineraries designed to give you an extra special holiday experience with an ‘authentic’ feel that we know you’ll love. Our itineraries typically range from 6 to 24 days staying in hand-picked accommodation featuring boutique and heritage hotels, luxury resorts as well as wonderful safari lodges and desert camps. This area offers a multitude of truly memorable holiday options where you can enjoy a range of amazing experiences. From exploring World Heritage Sites to trekking the Himalayas, discovering vibrant cities or relaxing on a private houseboat in the tranquil backwaters, experiencing the adventure of game safaris in National Parks or relishing time on a sun-drenched beach, the possibilities are endless. If you’re looking to see the region a little differently, our cycling, trekking, cookery, birdwatching and well-being tours also enable you to pursue a passion. Whatever your interests our travel experts are here to help you discover the magic of this region with a truly memorable holiday.",,01792315499,https://authenticindiatours.com,,,
Baltic Holidays,,"Baltic Holidays are experts in tailor-made travel to the Baltic states of Lithuania, Latvia & Estonia, the Nordic countries & Eastern Europe. For over 26 years we have been creating unique itineraries for our guests. Our exceptionally high standards and attention to detail set us aside from the rest; we use handpicked hotels, the very best local partners, and design your tour to suit you. Our guests receive a warm welcome and experience the very best of our destinations; brought to life by meeting local people and hearing their stories. Our local guides are exceptional. Our private tours are designed to suit your pace and interests, staying at characterful Old Town hotels, with private transfers, walking tours, and excursions all exclusively for you. Tailor your tour by adding Michelin restaurant reservations, concert tickets, a bog walk in a national park, or overnight in a rural manor house or spa hotel - we love to make things happen. Two of our managing partners are authors of the new Bradt guide to Lithuania (Sally & Linas). Baltic Holidays have been awarded the Tripadvisor Travellers' Choice Award for the third year running in 2026. We would be delighted to meet you at the fair.",,01618187140,https://balticholidays.com,,,
Cal India Travel Ltd,,"We as a family belong from Agra , where one of the 7 wonders Taj Mahal is , this city has 2 major industries tourism and shoe, we found more interest in tourism, really want to show our lands which have many hidden corners, mysteries, tales, culture and UNESCO heritage sites. After deciding to be part of this business , we luckily got our first match with partner from California, San Fransico - USA and then Cal India Tours and Travels came into existing , starting from American Travellers to India with communicating with them on telax. “CAL” derived from California , so its basically a mix of India and California , journey began in 1991 with its founder Shri Satish Wadhwa Ji , commuting private escorted day trips to India with commitment ,excellence and inspiration to create a professional destination management company in delivering customer satisfaction with an professionally managed team and continuing his dream to its next generation to his Son – Mr Rahul Wadhwa. Their team is well aware and equipped to cater to requirements of various market segments and understands the nuances of tourism in India and Sub continent with adding other destinations .",engage@calindia.travel,+91 9837061405,https://calindia.travel,,,
CapoSperone Resort,,"Welcome to CapoSperone Resort , an exclusive Mediterranean retreat in southern Italy set within a unique natural landscape where Calabria blends with Sicily. Nestled on a rocky spur covered in Mediterranean scrub and overlooking the legendary seas of the Odyssey with breathtaking views on the Purple Coast, the Coast of Gods, the Aeolian Islands, and the Strait of Messina, CapoSperone is an intense sensorial experience in an enchanted area described in the diaries of travellers Edward Lear and Alexandre Dumas and once belonging to Magna Graecia .",,+390966479753,https://caposperone.com,,,
Club Thirty Three - The Luxury Travel Club,,"Club Thirty Three is a private members’ travel club, offering exclusive weekly discounts and access to the UK’s most exceptional destinations and incredible international packages including luxury villas, tours and cruises, all delivered in one carefully curated email each week . Our membership for 2025 is fully subscribed but registration to join for 2026 is now open via www.clubthirtythreeluxurytravel.com",info@clubthirtythreeluxurytravel.com,,https://clubthirtythreeluxurytravel.com,,,
Conde Nast Publications,,"Look to the future of travel with the world’s best globetrotting writers and specialists, who share their secrets and offer new and authentic experiences. Whether you are seeking to rediscover the UK or go further afield, Condé Nast Traveller will take you there.",TravellerDigital@subscription.co.uk,+44(0)1858-438-815,https://cntraveller.com,,,
Earth Trip,,Tailor made Holidays to Sri Lanka Madagascar Latin America Africa Asia,info@earthtrip.co.uk,020 8935 5685,https://earthtrip.co.uk,,,
Emirates Holidays,,"Built around a team of extremely passionate destination experts, Emirates Holidays is the tour operator of the internationally renowned Emirates Airline. Specialising in Dubai, United Arab Emirates, Indian Ocean, South East Asia to Asia, Australasia, East and Southern Africa , we provide curated premium holidays to a wide range of amazing long haul destinations all wrapped up with flights on the award-winning Emirates. Whether you’re looking for a 5-star escape, romantic island retreat or an unforgettable adventure with your family, you can leave all the planning to us, and we will curate the perfect holiday based on your requirements. Visit us online, where you can find our very latest holiday offers, research your holiday by destination and make bookings, or call us on 020 8972 8951 to talk to one of our experienced and knowledgeable consultants about your next holiday. Win a holiday – Visit us at Stand LT-A40 and enter our competition for a chance to win a luxury holiday for two*. Enjoy fantastic offers – Take advantage of our incredible offers and book an unforgettable holiday with us. Choose Emirates Holidays – Enjoy handcrafted luxury holidays, competitive pricing, low deposits, and 24/7 support at every step. *Terms and conditions apply",,,https://emiratesholidays.com,,,
Hebridean Island Cruises,,"Hebridean Island Cruises - Where Small Means Personal Hebridean Island Cruises is perhaps one of the world’s most unusual cruise companies – our recipe for holidays afloat is simple – we create unique experiences for few a people and never something ordinary for a crowd. We have flown in the face of current fashion by only ever operating small ships. Whilst today’s mega-vessels may suit the mass market, there will always be a place for ships that are small and personal. Our fleet comprises of just 3 ships - Hebridean Island Cruises, Lord of the Highlands and Lord of the Glens – each dedicated to providing the finest holidays afloat around the Western Isles of Scotland and The Caledonian Canal – and all providing an extraordinary level of service that is the hallmark of Hebridean Island Cruises. Whatever your choice from our range of cruises, they all include fascinating shore excursions, always organised with precision and often to places accessible only to private yachts. And when back on board our chefs create imaginative menus using the freshest ingredients available.",reservations@hebridean.co.uk,01756 634229,https://hebridean.co.uk,,,
Hebrides Cruises,,"Hebrides Cruises is an award-winning, family-run small ship cruise company offering unforgettable journeys through Scotland’s spectacular Hebridean islands and remote west coast. Based in Oban, our family has spent decades exploring these extraordinary waters, sharing our passion for the wildlife, landscapes, culture and communities of the Hebrides with guests from around the world. Today, Hebrides Cruises remains proudly independent and family owned, with three small ships offering an intimate and highly personal cruising experience. With just a small number of guests onboard, every voyage is different. Our flexible itineraries allow us to follow wildlife sightings, take advantage of favourable weather and tides, and discover hidden anchorages and places larger ships simply cannot reach. From whales and dolphins to sea eagles, puffins and otters, the natural world is at the heart of what we do. Exceptional hospitality, locally inspired cuisine and knowledgeable guides combine with the warmth of a family business to create truly memorable holidays. Whether exploring iconic islands such as Mull, Iona and Skye or venturing to Scotland’s most remote shores, we offer authentic, immersive luxury experiences in one of the world’s most beautiful and unspoilt destinations.",info@hebridescruises.co.uk,+447585151611,https://hebridescruises.co.uk,,,
Heritage Wine Tours,,"Heritage Wine Tours crafts bespoke private wine journeys through luxury French wine regions; Bordeaux, Burgundy, Champagne, the Rhône, and Beaujolais. Led by father-daughter duo Emily and John, our itineraries are supported by Emily's WSET-honed expertise and our connections with local guides, built up over years. As an independent, family-run company, we take the time to shape each itinerary around the person taking it. Every journey is fully bespoke, built around the traveller's pace and palate, and handled start to finish: private transport, curated tastings at hidden gems and iconic estates alike, and hand-picked dining and hotel recommendations. No two itineraries look the same.",emily@heritagewinetours.com,+447741874012,https://heritagewinetours.com,,,
Hogan Holidays,,"Hogan Holidays is a boutique luxury travel specialist creating exceptional tailor-made escapes across Europe and beyond. From iconic grand hotels to hidden gem retreats, we craft personalised journeys with authentic experiences, seamless service, and a meticulous eye for detail. Our passion is simple: to turn every trip into a story worth telling.",,,https://hoganholidays.co.uk,,,
Humboldt Travel,,"Humboldt Travel is a small luxury operator owned by husband-and-wife team Simon and Kirsty Williams. We specialise in luxury, tailor-made holidays to Latin America, Asia and Africa. Using our extensive black book of local contacts, we craft exceptional trips and luxury experiences, working with you to create your dream journey. For everyone who travels with us, we donate to our chosen charity within that country. This enables local community projects to pay for things like children’s schooling in Peru, a health project in South Africa or a women’s co-operative in India. For us this is also about inspiring our guests, so that they return home full of knowledge and enthusiasm for the country they’ve visited, the wildlife they’ve seen and the people they’ve encountered. We firmly believe that when travel is done right it can create such a positive impact. We’re an independent company and because of this each booking is very important to us. You’re not just a number in a sales target. We are ATOL bonded and members of the Travel Trust Association which guarantees full financial protection for your holiday. We want every client to have the best holiday possible which means you receive a very personal service.",,,https://humboldttravel.co.uk,,,
Limitless Nomad,,"At Limitless Nomad , we believe travel should be more than movement it should be transformation. We are not a booking site, and we are not in the business of selling cookie-cutter tours. Instead, we craft journeys that are as unique as the people who take them. Every itinerary is thoughtfully designed, blending Morocco’s beauty, culture, and soul into a seamless experience created just for you. What sets us apart is our devotion to both our travelers and our country. We partner with local communities, guides, and artisans, ensuring every journey is meaningful, sustainable, and respectful. Luxury, for us, is not only found in a five-star riad or a private desert camp — it’s also in the stories shared over tea, the hidden paths revealed, and the connections made along the way. As Morocco travel specialists, we know this land intimately — its rhythms, its hidden gems, its secrets. Our role is to open those doors for you, with expertise, passion, and care. With us, you won’t just see Morocco; you’ll feel it, live it, and remember it long after you return home. Limitless Nomad isn’t just about where you go — it’s about how you experience it. Morocco, like never before.",,,https://limitlessnomad.com,,,
Louis Roederer,,,,,https://champagne-roederer.com,,,
Mundy Cruising,,"No one knows more about the luxury cruise market than Mundy Cruising. We were the first cruise specialist in the UK, and have maintained our position through innovation, customer service, and a commitment to uncompromising excellence, with a focus on luxury small ship cruises. Intuitive suggestions, meticulous planning, and over 50 years of getting it just right make Mundy the perfect choice and we’re delighted to representing Windstar Cruises, the market leader in small ship luxury cruising. Windstar Cruises operates a fleet of six intimate yachts, three with sails and three without, which offer a relaxed and easy-going style that travellers find irresistible.",,+442073997670,https://mundycruising.co.uk,,,
Mysteries Of India,,"Crafting Tailor-Made Journeys Since the 1980s When the idea of tailor-made holidays to India was still new, Mysteries of India became a pioneer. Today, we remain specialists in bespoke journeys across India and the subcontinent , trusted by discerning travellers who seek more than just a holiday. Why Travel With Us? Over 40 years of expertise in tailor-made travel Personalised itineraries designed around your interests Small groups & individual travellers —crafted with care Unmatched destination knowledge and attention to detail Our Experiences Wildlife Safaris & exclusive Photography Tours Culture & Architecture journeys Scenic River Cruises Luxury Train Experiences Special-interest trips shaped to your passions & budget …and more, always tailored for you The Advantage of Two Homes With offices in both the UK and India , we work directly with trusted local partners—ensuring the best value and highest quality . Travel With Confidence As a UK-based operator, we are fully licensed with ATOL & IATA , offering complete financial protection —something India-based operators cannot match. Mysteries of India – More than a journey, a memory for life.",holidays@mysteriesofindia.com,+44(0)208 584 1414,https://mysteriesofindia.com,,,
Namibia Individual Travel,,"Namibia Individual Travel Namibia Individual Travel, established in 1999, is a premier tour company specializing in tailored safari experiences across Namibia and neighbouring countries. We focus on creating unique, customized itineraries that allow travelers to explore the country's diverse landscapes, rich wildlife, and cultural heritage. Whether it's a luxury safari, an active adenture, or a mountain biking expedition, Namibia Individual Travel ensures that each journey is carefully crafted to meet the specific interests and needs of our guests. With extensive expertise in the region, we are dedicated to providing authentic and memorable experiences, showcasing the best that Namibia and Botswana has to offer.",andrew@nit.com.na,+264 81 128 4900,https://nit.com.na,,,
National Geographic Lindblad Expeditions,,,,1.212.765.7740,https://expeditions.co.uk,,,
NG Phaselis Bay LifeStyle Resort,,NG Phaselis Bay Lifestyle Resort offers a unique holiday to its guests with its friendly and energetic team and its architecture reflecting the magnificent nature of Kemer. Its location in untouched greenery bordering dream-like coves and its impressive concept and unlimited personalized services are indispensable for modern travellers.,,+90 444 36 64,https://ngphaselisbay.com,,,
