exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
365 promo,,,,,Iraq,365 promo,L01-K,"365 Promo provides branding, advertising, corporate gifts, and customized promotional products.",Erbil,
Abqariya Vision,abqariyavision.com,,,,Iraq,Abqariya Vision,L01-D,"Abqariya Vision delivers innovative visual, virtual reality, and digital technology solutions for organizations.",Erbil,
Al Markaz,,,,,Iraq,Al Markaz,B05-A,Al Markaz provides information technology systems and related business solutions.,Erbil,
Align Art,alignart.net,,,,Iraq,Align Art,R02-E,"Align Art provides digital business cards, portfolios, CVs, menus, QR and NFC sharing, lead management, ordering, and analytics.",Erbil,
Arcalis,arcalis.io,,,,Iraq,Arcalis,B13-A,"Arcalis simplifies business operations through Odoo ERP, automation, AI tools, websites, and system integration.",Erbil,
Arcella,arcellaco.com,,,,Iraq,Arcella,D01,"Arcella is a technology and ICT solutions company providing intelligent IT infrastructure, networking, cybersecurity, smart building and city solutions, EV charging infrastructure, and green energy solutions. The company delivers integrated technology solutions designed to help businesses operate more securely, efficiently, and intelligently.",Erbil,
AreeAI,,,,,Iraq,AreeAI,R01-E,"AreeAI develops intelligent solutions that automate processes, improve decisions, and create efficient digital experiences.",Erbil,
Ari Gaming,,,,,Iraq,Ari Gaming,Game zone,"Ari Gaming supplies gaming PCs, laptops, monitors, chairs, keyboards, mice, headsets, controllers, and accessories.",Erbil,
Artvin Group,artvingroup.krd,,,,Iraq,Artvin Group,S03 - B15,"Artvin Group provides technology, construction, engineering, trading, and project development services across multiple industries.",Erbil,
Blueprint,,,,,,Blueprint,B06-B,"Dental Blueprint provides advanced dental equipment, digital dentistry solutions, dental microscopes, and professional training.",Erbil,
Board of Investment,,,,,Iraq,Board of Investment,F01-B,"The Kurdistan Region Board of Investment promotes and facilitates local and international investment through opportunities, licensing, registration, and project support.",Erbil,
Business Line,businesslineglobal.com,,,,Iraq,Business Line,S05-A,"Business Line is a leading technology and consulting company, recognized as an SAP Gold Partner. With offices across Iraq, UAE, KSA, and beyond, we support organizations in their digital transformation journey by delivering ERP solutions, cloud technologies, and enterprise consulting services. focusing on industries such as manufacturing, retail, construction, education, oil & gas, healthcare, and the public sector.",Erbil,
Cyber Scope,,,,,Iraq,Cyber Scope,L01-J,"Cyber Scope provides penetration testing, SOC, incident response, code review, security training, and cybersecurity tools.",Erbil,
Delivard,delivard.com,,,,Iraq,Delivard,B11,"Delivard is an Iraqi e-commerce platform offering electronics and consumer products with delivery, tracking, secure payments, and customer support.",Erbil,
Devedan,devedan.com,,,,Iraq,Devedan,B18-A,"Devedan is a creative technology studio building digital solutions, communication content, events, visual media, and technology-driven experiences.",Erbil,
Didam,,,,,Iraq,Didam,B14-C,Didam provides technology and business services.,Erbil,
DIL Technology,diltechnology.com,,,,,DIL Technology,G02,"DIL Technology provides IT infrastructure, networking, cybersecurity, software, cloud, and digital solutions for businesses.",Erbil,
Dwrandaz,dwrandaz.com,,,,Iraq,Dwrandaz,B16-C,"Dwrandaz develops desktop, mobile, and web applications, UX/UI, IoT solutions, branding, and custom digital systems.",Erbil,
Dîrok & Culture (Heritage of The Kurds),,,,,Turkey,Dîrok & Culture (Heritage of The Kurds),L02-D,"Dîrok & Culture is a digital platform presenting Kurdish history, culture, and heritage.",Erbil,
Easy Technology,easykrd.com,,,,Iraq,Easy Technology,B13-B,"Easy Technology develops and manages digital products, mobile applications, software, and consumer-focused technology solutions.",Erbil,
Eratex,eratex.co,,,,Iraq,Eratex,S06,"Eratex provides low-current solutions for security, networking, sound, digital displays, and power systems.",Erbil,
Erbil Group,,,,,Iraq,Erbil Group,R01-G,"Erbil Group provides communication and internet solutions using reliable, modern networking technologies.",Erbil,
EV.IQ,,,,,Iraq,EV.IQ,L02-A,"EV.IQ provides EV charging stations, live availability, digital payments, and station management.",Erbil,
FastPay,fast-pay.iq,,,,Iraq,FastPay,P01,"FastPay is a leading digital payment and mobile wallet platform in Iraq, offering secure and convenient financial services for individuals and businesses. Its services include money transfers, mobile and internet recharges, bill payments, online payments, digital gift cards, and QR-based merchant payments.",Erbil,
FTTH,,,,,,FTTH,P03,FTTH provides high-speed fiber internet services for homes and businesses.,Erbil,
Garmin,,,,,Iraq,Garmin,L02-F,"Garmin provides smartwatches, fitness trackers, GPS, navigation, outdoor technology, and accessories.",Erbil,
Gen Machine,genmachinepc.com,,,,China,Gen Machine,L01-C,"Gen Machine develops and manufactures compact AMD-powered Mini PCs for office, education, entertainment, design, and networking.",Erbil,
Go Software,gosoftware.krd,,,,Iraq,Go Software,B16-A,"Go Software builds websites, mobile apps, CRM and ERP systems, SaaS products, dashboards, integrations, and business automation.",Erbil,
Golden Speed,,,,,Iraq,Golden Speed,R02-C,"Golden Speed provides logistics, shipping, and delivery services.",Erbil,
GOV MOI / Daban Group,,,,,Iraq,GOV MOI / Daban Group,F02-A,Government and business services organization participating at HITEX 2026.,Erbil,
GP Battery,,,,,Iraq,GP Battery,L01-I,"GP Batteries provides batteries, chargers, power banks, cables, and portable power products.",Erbil,
Hazhar Net,hazhar.net,,,,Iraq,Hazhar Net,R03-B,"Hazhar Net supplies and maintains CCTV, fire alarms, access control, networks, servers, IP telephony, and smart technology systems.",Erbil,
HerzzaLink,,,,,Iraq,HerzzaLink,B14-B,"HerzzaLink supplies fiber, copper cabling, FTTH products, network racks, switches, and connectivity infrastructure.",Erbil,
Hi Amira,hiamira.com,,,,United Kingdom,Hi Amira,L01-A,"Hi Amira is a multilingual AI platform for translating, reading, simplifying, explaining, summarizing, and understanding text and documents.",Erbil,
INGOT,ingot.io,,,,Jordan,INGOT,D02,"INGOT is a high-end brokerage firm that aims to make financial markets accessible to traders of all levels and backgrounds. The company is authorized, regulated, and holds five different licenses, which ensure that clients receive a reliable and exceptional trading experience. Below are the existing licenses: Jordan Securities Commission (JSC) Australian Securities and Investments Commission (ASIC) Capital Markets Authority (CMA) in Kenya Financial Services Authority of Seychelles (FSA) Securities and Commodities Authority in UAE (SCA)",Erbil,
INJAZ ERP,injaz.pro,,,,Iraq,INJAZ ERP,B16-B,"INJAZ ERP is an Iraqi platform for accounting, inventory, sales, purchasing, HR, payroll, CRM, projects, reporting, and business automation.",Erbil,
iQ Freight,iqfreight.pro,,,,Iraq,iQ Freight,B16-D,"iQ Freight is a cloud platform for freight companies, covering logistics, accounting, warehousing, CRM, tracking, billing, and customer management.",Erbil,
iSpace & Strap,ispaceiraq.com,,,,Iraq,iSpace & Strap,B19,"iSpace and Strap provide Starlink equipment, installation and support, plus fitness, health tracking, recovery, and wearable technology products.",Erbil,
ITC,,,,,Iraq,ITC,F02-B,"ITC supports computer and information technology services, knowledge, and professional development.",Erbil,
Jibal Zone,jibalzone.com,,,,Iraq,Jibal Zone,B01,"Jibal Zone provides software development, digital platforms, IT services, and business technology solutions.",Erbil,
Judi,judifirm.com,,,,Iraq,Judi,B18-D,JUDI is an AI-powered legal platform providing digital legal assistance and access to legal documents and forms.,Erbil,
Kurdistan Center for Arts & Culture (KCAC),kcac.org,,,,Iraq,Kurdistan Center for Arts & Culture (KCAC),B02,"KCAC builds an inclusive global community that celebrates, preserves, and promotes Kurdistan’s heritage, culture, and art.",Erbil,
LYNX Technology,lynxteam.co,,,,Iraq,LYNX Technology,L01-F & G,"LYNX provides hardware, servers, cloud, software, tracking, solar, smart-home, automotive diagnostics, and professional IT services.",Erbil,
Mafa China (Fossibot),fossibot.com,,,,,Mafa China (Fossibot),B03-A,"FOSSiBOT develops rugged smartphones, tablets, smart devices, portable power stations, solar products, and outdoor technology.",Erbil,
Meraki Ventures,meraki-ventures.co,,,,Iraq,Meraki Ventures,S02,Meraki Ventures provides digital advertising screens and smart retail solutions that connect brands with audiences in high-traffic locations.,Erbil,
Mesopo,mesopoagency.com,,,,,Mesopo,B07,"Mesopo provides web and software development, mobile apps, e-commerce, ERP, AI automation, digital marketing, branding, and payment integrations.",Erbil,
Message24,,,,,Iraq,Message24,L02-E,"Message24 uses AI to manage customer conversations, orders, voice messages, and support across messaging channels.",Erbil,
Nass E-Payment,nass.iq,,,,Iraq,Nass E-Payment,G03,"NASS provides digital payment, technology, infrastructure, cybersecurity, cloud, software, and smart solutions for businesses and organizations.",Erbil,
National Bank of Iraq,,,,,,National Bank of Iraq,S04-B,"National Bank of Iraq provides digital and traditional banking services for individuals and businesses, including accounts, cards, loans, payments, and online banking.",Erbil,
Nidham AI Shabaka Ltd.,,,,,Iraq,Nidham AI Shabaka Ltd.,L01-B,"Mujib provides AI voice and chat agents for customer service across phone, messaging, and business systems.",Erbil,
OKX,okx.com,,,,,OKX,G05,"OKX is a global digital asset platform offering cryptocurrency trading, Web3 services, wallets, staking, and institutional solutions.",Erbil,
Optimal,optimal.krd,,,,,Optimal,S08,Optimal develops custom software and offers coding courses for children and teenagers.,Erbil,
Pet Land,petlandiq.com,,,,Iraq,Pet Land,R02-A,Pet Land is an online marketplace for pet food and supplies with delivery across Iraq.,Erbil,
PKRD,,,,,Iraq,PKRD,L01-L,PKRD provides subscription access and APIs for advanced artificial intelligence models.,Erbil,
Quick Pay,quickpayiraq.wordpress.com,,,,Iraq,Quick Pay,B06-A,QuickPay Iraq enables customers to buy electronic vouchers directly and securely share voucher PINs.,Erbil,
Razar Company,razaradvertising.com,,,,Iraq,Razar Company,B14-A,"Razar is an advertising and marketing company providing branding, digital media, creative campaigns, and promotional solutions.",Erbil,
Ruya Dream,ruyadream.com,,,,Iraq,Ruya Dream,R02-D,"Ruya Dream builds mobile apps, web platforms, ERP, logistics systems, automation, APIs, and digital business solutions.",Erbil,
Sayran,,,,,Iraq,Sayran,L01-M,Sayran helps users discover and book verified villas and outdoor stays across Kurdistan.,Erbil,
SIRAJ ERP,sirajerpiraq.com,,,,Iraq,SIRAJ ERP,R03-A,"SIRAJ provides ERP, digital transformation, software, and customized systems for healthcare, construction, education, hospitality, and business.",Erbil,
Smart Alert,smartalerttech.com,,,,Iraq,Smart Alert,R01-F,"At Smart Alert Tech, our mission is to empower families with smart, non-intrusive monitoring solutions that enhance senior independence, provide real-time insights, and deliver peace of mind—without subscriptions, wearables, or privacy concerns. We are committed to keeping loved ones safe at home while reducing the financial and emotional burden of assisted living.",Erbil,
Spotlight,spotlightvision.com,,,,,Spotlight,B09,"Spotlight supplies and integrates professional LED and LCD displays, video walls, digital signage, and custom visual display systems.",Erbil,
Standing Tech Company,standingtech.com,,,,Iraq,Standing Tech Company,R02-A,"Standing Tech Company for information Technology Services and Solutions: We are software company, providing Web Design and Web Development, GPS Tracking, Fleet Management, Business Software, Database Applications, ERP Development, Hosting and Domain, Cloud Computing, Security Services, Mobile Application Development, E-Commerce Development, Payment Integration, Online Payment, Online Shopping.",Erbil,
Starlink,,,,,,Starlink,G06,"Delivard is an Iraqi e-commerce platform offering electronics and consumer products with delivery, tracking, secure payments, and customer support.",Erbil,
Sulicycle,sulicycles.com,,,,Iraq,Sulicycle,B14-D,Sulicycle promotes sustainable waste management and recycling through technology and a circular economy approach.,Erbil,
Taza Bazar,tazabazar.samanidarya.com,,,,Iraq,Taza Bazar,R01-H,"Taza Bazar enables customers in Iraq to buy products from international markets with sourcing, purchasing, and delivery services.",Erbil,
Tech Zone,techzoneerbil.com,,,,Iraq,Tech Zone,B13-C,"Tech Zone supplies printers, scanners, computers, barcode systems, office equipment, consumables, and business technology solutions.",Erbil,
The S,thes.dev,,,,Iraq,The S,R03-E,"The S develops custom software, websites, mobile apps, AI integrations, cybersecurity, digital marketing, and virtual tours.",Erbil,
Vanest,vanest.co,,,,,Vanest,B05-B,"VANEST provides advanced dental care, dental technology, professional education, and international dental products in Iraq and the region.",Erbil,
VT Markets,,,,,Australia,VT Markets,S07,VT Markets provides accessible online trading services and tools for global financial markets.,Erbil,
Wade,wadedelivery.com,,,,,Wade,G04,Wade Delivery is a digital delivery and logistics platform providing convenient on-demand services for individuals and businesses.,Erbil,
Zakho Private Institute,,,,,Iraq,Zakho Private Institute,B17-C,"Zakho Private Institute offers diploma programs in computing, oil and gas, accounting, and business administration, with academic and technology events.",Erbil,
ZAS Tech,zas-tech.krd,,,,Iraq,ZAS Tech,R01-B,"ZAS Tech develops software, cybersecurity, AI, computer vision, and web and mobile applications.",Erbil,
Zhween,,,,,Iraq,Zhween,L02-B,Zhween provides interactive learning tools and resources for kindergarten and primary education.,Erbil,
ZiGo,zigoiraq.com,,,,Iraq,ZiGo,R02-B-2,"ZiGo is a city mobility and ride-hailing platform with fast booking, live tracking, verified drivers, and multiple ride options.",Erbil,
ZMC Group,zmcgroup.net,,,,Iraq,ZMC Group,P02,"ZMC Group is a multinational conglomerate established in 2004 in Baghdad, Iraq, focusing on telecommunications, logistics, and electronics distribution across the Middle East, Africa, and China. The group is a major player in mobile phone wholesale in Iraq and provides comprehensive supply chain, e-commerce, and cargo services.",Erbil,
Zuzu Shopping,,,,,Iraq,Zuzu Shopping,R03-D,"Zuzu Shopping connects customers with local stores through one cart, order tracking, delivery locations, and consolidated delivery.",Erbil,
یەکسانە بە یەک,,,,,Iraq,یەکسانە بە یەک,L02-C,Yaksana Ba Yak provides digital and community services.,Erbil,
