company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
3D JUNGLE,,"3D JUNGLE supports manufacturers with 3D scanning, dimensional inspection and reverse engineering. We supply 3D scanners and automated inspection systems, alongside measurement services, consulting and training. Our team helps you select and use solutions suited to your parts, quality requirements and production constraints.",,,https://3djungle.fr,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
4iTEC,,"Our Story. 4itec 4.0 is an innovative SME created in 2017, specialized in technological development, open innovation and consulting for manufacturing industries ...",,,https://4itec.fr,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
ACGM,,"Club de gymnastique de Mulhouse crée en 1985. Dès 1990, l'ACGM obtient d'excellents résultats, avec un titre de Champion de France Fédéral 1 féminine.",,,https://acgm.fr,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
ACTEMIUM,,"A major player in industrial transformation, Actemium is the VINCI Energies brand dedicated to industry. Actemium continuously optimises the performance of its customers to support them in the era of the industry of the future. Its agile and learning network of more than 400 companies specialising in each industrial sector enables the implementation of tailor-made solutions and the deployment of multi-technical, multi-site and multi-country offers. Present throughout the industrial life cycle, from design to maintenance of production equipment, Actemium innovates to support industrialists in their development over the long term. 3,6 billion euros in turnover // 24 400 employees / 400 companies / 40 countries",,,https://actemium.com,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
ADEME-CLIMAXION,,"(Mulhouse Alsace Agglomération), cofinancé ADEME / Climaxion. ⚠️ Les montants 2026 ne sont pas confirmables depuis ce guide : ils varient selon la ...",,,https://ademe.fr,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
ALETIQ,,"Aletiq is the next-generation PLM software for managing the entire product lifecycle. It centralizes all technical data and processes within a single, reliable source of truth. Your drawings, 3D models, BOMs, specifications, calculation files, test reports, and design versions are finally all in one place. With Aletiq, engineers save time searching for information, ensure complete data traceability and revision control, and simplify project management. Our solution helps manufacturers strengthen operational efficiency while maintaining full compliance with regulatory and customer requirements.",,,https://aletiq.com,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
ALSACE TECH,,"Alsace Tech is an association federating since 2007 the 14 major engineering, architecture, art, design and management schools of Alsace. One of our objectives is to strengthen the links between the schools and the economic world, particularly in the field of the 5.0 industry.",,,https://alsacetech.org,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
AM VALOR,,"AMVALOR supports manufacturers in their technological development and innovation initiatives throughout the entire product lifecycle, drawing on its multidisciplinary scientific expertise and technological research activities. As the supporting structure for the Carnot ARTS Institute, AMVALOR’s services are based on a network of 31 centres of research excellence and state-of-the-art technology platforms, enabling it to address both the challenges of designing, industrialising and manufacturing complex and innovative products and the challenges of digitalisation within businesses.",,,,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
AQUA-DOUBS,,Mourad Ait Abbas Gérant de Aqua Doubs. 18 février 2018 à 05:00. La commune met le paquet sur le déneigement.,,,,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
ARCHIFY BY CYBER4CARE,,"Archify.fr is the local, autonomous and sovereign information system for operational continuity, designed to maintain access to essential information when the primary information system is inaccessible. Deployed on site and prepared in advance, Archify.fr provides authorised personnel with a local digital environment in which they can access, update and share the information required for the organisation’s continuity. The platform can provide access to continuity procedures, response sheets, directories, emergency contacts, technical documentation, plans, forms and schedules. Depending on the type of organisation, it can also maintain local access to business continuity and disaster recovery plans (BCP/DRP – PCA/PRA in France), municipal safeguard plans (PCS) or business continuity and recovery plans for healthcare organisations (PCRA). Archify.fr also includes a local collaborative solution that enables authorised personnel to communicate, share information and coordinate their actions. The platform operates without relying on the Internet or a connection to the primary information system. It therefore provides a capability that can be activated immediately in the event of a cyberattack, IT failure, communications outage or any other situation that makes the primary information system inaccessible. Archify.fr is designed for companies and industrial sites, healthcare organisations, local authorities and public services, operators of vital importance and defence organisations. Specific use cases illustrate its deployment at the Port autonome de Strasbourg, the Hôpital Européen de Marseille and the City of Vandœuvre-lès-Nancy. Discover how to prepare a local continuity capability before the primary information system becomes inaccessible.",,,https://archify.fr,"Parc Expo de Mulhouse, 120 Rue Lefebure, 68100 Mulhouse, France",Mulhouse,
